root,valency_path_c,total_tokens,distinct_preverbs,distinct_pratyayas
antardhā,14,1011,1,14
jāray,14,671,6,7
cam,14,476,4,8
ardhay,14,407,3,8
prath,14,370,4,9
sac,14,324,2,13
mūrch,14,256,6,6
varay,14,215,3,11
spṛdh,14,198,3,10
kṣapay,14,166,4,10
sphuṭ,14,166,5,7
skhal,14,152,5,5
bhrāmay,14,141,7,7
syand,14,120,4,8
du,14,104,6,7
dabh,14,100,2,11
śīlay,14,96,5,6
dhmāpay,14,94,4,7
jijñās,14,90,3,12
svāday,14,88,3,9
marṣay,14,81,5,9
garhay,14,76,3,8
śocay,14,70,3,11
tarjay,14,68,6,6
hlāday,14,55,4,6
jihīrṣ,14,43,6,7
kṣepay,14,24,6,9
śleṣay,14,20,6,6
avāp,13,1574,1,13
śā,13,1165,5,7
upās,13,1140,1,13
prekṣ,13,576,1,13
pratī,13,423,1,13
khād,13,375,3,10
anviṣ,13,361,1,13
unnī,13,311,1,13
gopāy,13,272,2,10
jighāṃs,13,204,5,7
edh,13,201,2,9
pṛṇ,13,141,2,8
īh,13,141,2,7
phal,13,136,4,7
īr,13,118,5,7
mlā,13,115,6,8
nū,13,106,4,10
kuñc,13,103,6,6
sīv,13,103,5,7
uṣ,13,102,4,9
cetay,13,98,4,8
khaṇḍay,13,78,4,9
dhī,13,76,5,6
dāhay,13,74,4,10
añjay,13,71,4,8
lālay,13,71,5,6
tṛṣ,13,71,5,7
bhājay,13,54,3,9
kleśay,13,52,5,6
mruc,13,49,5,5
ran,13,48,4,10
stāray,13,39,4,7
lambay,13,26,7,7
dhūnay,13,18,5,6
uddhṛ,12,1056,1,12
udi,12,960,1,12
avekṣ,12,690,1,12
vīkṣ,12,497,1,12
prārthay,12,424,1,12
svid,12,397,7,6
mūrchay,12,369,4,8
parīkṣ,12,349,1,12
lag,12,291,7,5
rā,12,233,2,11
pratīkṣ,12,231,1,12
arjay,12,214,2,9
maṇḍay,12,195,3,9
klid,12,183,9,4
vañcay,12,181,2,11
bṛṃhay,12,122,4,7
yantray,12,110,6,5
ghūrṇ,12,100,6,4
lū,12,96,6,6
mand,12,90,3,10
cumb,12,77,5,7
gṛdh,12,70,6,7
dits,12,68,5,6
śvi,12,68,4,9
gopay,12,65,4,9
vījay,12,65,6,6
udghāṭay,12,63,1,12
mahay,12,62,2,11
bhīṣay,12,51,2,8
lāpay,12,41,6,7
noday,12,41,6,6
paṇ,12,39,2,9
kleday,12,32,5,6
varṣay,12,32,4,7
kṣāray,12,27,5,4
lopay,12,26,3,9
dhits,12,20,6,6
arh,11,2382,2,9
e,11,1409,1,11
adhī,11,887,1,11
samprāp,11,804,1,11
nyas,11,798,1,11
alaṃkṛ,11,677,1,11
parī,11,581,1,11
ṣkram,11,386,1,11
kṣan,11,373,7,5
udgā,11,283,1,11
dṛh,11,279,3,9
upekṣ,11,248,1,11
karśay,11,224,6,6
vāñch,11,217,5,6
mnā,11,198,3,7
preray,11,195,1,11
ṣu,11,159,1,11
prāpay,11,155,1,11
dis,11,146,1,11
ṇāmay,11,143,2,9
uccāray,11,139,1,11
pāvay,11,137,1,11
mṛgay,11,108,1,11
bhikṣ,11,104,2,10
kvāthay,11,98,5,6
so,11,92,3,10
sūday,11,88,2,10
svad,11,84,3,11
vāś,11,77,4,8
prach,11,68,3,6
mah,11,64,3,9
aj,11,61,4,7
vyathay,11,61,2,8
laṅgh,11,57,4,7
liṅg,11,54,3,9
hary,11,53,3,6
lolay,11,47,6,5
sraṃsay,11,43,3,6
īkṣay,11,41,4,7
cākaś,11,35,6,6
ṣū,11,35,4,7
vañc,11,34,5,7
tolay,11,32,3,8
bṛṃh,11,31,4,7
udyam,10,942,1,10
pre,10,818,1,10
prāś,10,583,1,10
upasaṃkram,10,476,1,10
īś,10,425,1,10
ucchri,10,360,1,10
īḍ,10,353,2,9
cchad,10,298,10,1
ākarṇay,10,236,1,10
udgrah,10,235,1,10
dīdī,10,200,2,9
udvah,10,189,1,10
abhyupe,10,183,1,10
secay,10,171,6,4
ṣṭambh,10,157,3,6
ṛṣ,10,156,4,5
liṅgay,10,154,3,6
laṣ,10,149,2,8
paryupās,10,149,1,10
adhyāpay,10,130,1,10
ṣah,10,120,2,9
rch,10,102,3,7
vivakṣ,10,94,2,8
glā,10,92,4,7
mudray,10,91,5,4
prīṇay,10,89,3,7
sādh,10,86,1,10
upasaṃhṛ,10,83,1,10
hvṛ,10,74,3,7
yamay,10,70,4,5
ri,10,69,4,6
katth,10,68,2,6
śabday,10,63,5,5
kan,10,62,3,8
ucchid,10,59,1,10
dhanv,10,56,2,6
ras,10,53,3,8
ḍhālay,10,50,4,5
gharṣay,10,49,6,4
asūy,10,43,2,9
lambhay,10,43,4,6
poṣay,10,38,3,8
skanday,10,37,4,6
lekhay,10,35,4,6
vecay,10,35,2,9
tyājay,10,30,3,7
dagh,10,25,5,7
sāyay,10,24,3,8
trap,10,23,3,6
tṛh,10,21,3,8
j,10,19,3,7
krīḍay,10,19,3,7
śas,10,19,2,8
atī,9,856,1,9
preṣay,9,476,1,9
prokṣ,9,461,1,9
puṭ,9,448,3,5
ści,9,410,1,9
mil,9,358,3,5
preṣ,9,304,1,9
śrapay,9,290,1,9
anvi,9,258,1,9
ujji,9,238,1,9
abhī,9,228,1,9
vyapoh,9,202,1,9
śikṣay,9,177,2,8
dīkṣay,9,162,1,9
prāṇ,9,156,1,9
māday,9,153,4,7
devay,9,136,2,7
adhyās,9,131,1,9
ave,9,130,2,8
udīkṣ,9,112,1,9
bubhūṣ,9,108,4,5
jyā,9,93,1,9
jugups,9,82,4,5
kṣud,9,80,3,5
pavay,9,77,4,6
dhyai,9,73,3,7
īps,9,72,3,7
rakṣay,9,69,3,7
ṣkrī,9,67,1,9
sapary,9,66,1,9
tulay,9,62,1,9
cheday,9,56,2,8
ujh,9,56,3,6
vrājay,9,52,2,8
snehay,9,51,4,6
anvavekṣ,9,50,1,9
nenij,9,48,3,4
pratyavekṣ,9,48,1,9
anvās,9,47,1,9
titikṣ,9,47,2,7
tvaray,9,43,3,7
khānay,9,42,2,6
rad,9,39,2,8
nāhay,9,38,3,6
sphūrj,9,38,4,5
cud,9,37,3,6
ṣṭan,9,33,4,4
am,9,28,3,7
pāṭhay,9,27,2,8
sabhājay,9,27,1,9
samucchid,9,26,1,9
svan,9,26,5,5
jvar,9,23,2,6
s,9,23,2,7
ṇāśay,9,18,3,8
vīj,9,16,4,7
kśā,9,14,8,5
ścotay,9,14,4,5
marśay,9,13,5,4
kartay,9,12,6,5
uddiś,8,557,1,8
samuddhṛ,8,447,1,8
lubh,8,335,4,6
vaś,8,302,1,8
dāś,8,290,1,8
jinv,8,289,2,7
vedhay,8,261,3,6
uddhan,8,253,1,8
apekṣ,8,238,1,8
pare,8,201,1,8
daṇḍay,8,176,1,8
udgam,8,172,1,8
abhisaṃbudh,8,148,1,8
las,8,147,3,4
udīr,8,142,1,8
ucchiṣ,8,140,1,8
k￞,8,133,1,8
paryavāp,8,131,1,8
śuśrūṣ,8,110,1,8
pratyudyā,8,105,1,8
sphāray,8,105,2,7
saṃnyas,8,102,1,8
kuñcay,8,100,6,3
tirodhā,8,96,1,8
vājay,8,96,2,6
abhivīkṣ,8,90,1,8
samavāp,8,89,1,8
piṇḍay,8,83,4,5
āvirbhū,8,80,1,8
upārjay,8,79,1,8
vratay,8,79,2,7
bhaṇ,8,73,1,8
bhiṣajy,8,70,1,8
paryaṭ,8,64,1,8
mīmāṃs,8,62,2,7
kuṭṭay,8,60,4,5
apān,8,59,1,8
ṣkāsay,8,58,1,8
lakṣ,8,52,4,5
rāgay,8,51,2,5
jaray,8,49,1,8
randhay,8,45,1,8
anvave,8,43,1,8
abhyuddhṛ,8,42,1,8
bhraṃśay,8,42,4,6
carcay,8,41,2,5
nij,8,41,3,6
svaj,8,40,2,7
unmūlay,8,40,1,8
ḍambay,8,40,1,8
añc,8,38,3,5
snapay,8,38,2,7
tañc,8,36,4,4
śāyay,8,36,3,6
yāvay,8,33,2,7
heṣ,8,30,3,5
jaṅghan,8,30,4,5
ṣyand,8,30,4,5
hiṇḍ,8,29,5,4
anusaṃdhā,8,28,1,8
bhāṣay,8,27,4,4
cūṣ,8,26,3,5
dardar,8,23,2,7
hve,8,23,5,4
mṛdh,8,23,2,7
snu,8,23,4,3
ven,8,22,3,6
ubj,8,21,3,5
jvalay,8,20,2,6
kaṣ,8,18,4,6
pratisaṃdhā,8,17,1,8
titīrṣ,8,17,4,3
dī,8,16,2,6
hiṃsay,8,15,2,6
taṃsay,8,12,4,6
sañjay,8,11,4,6
hāsay,8,10,6,4
manthay,8,10,5,5
lok,8,8,3,5
same,7,641,1,7
dam,7,342,1,7
udīray,7,301,1,7
abhye,7,292,1,7
ape,7,272,1,7
vidh,7,209,1,7
udvāsay,7,188,1,7
paryāp,7,184,1,7
apī,7,178,1,7
namasy,7,161,1,7
carv,7,160,4,4
daṃśay,7,145,1,7
apās,7,144,1,7
snih,7,141,3,5
lajj,7,126,3,4
apoh,7,124,1,7
locay,7,121,3,5
jakṣ,7,118,3,5
melay,7,113,3,5
ṣpat,7,108,1,7
p￞,7,99,2,6
kas,7,95,4,4
bhṛjj,7,94,2,6
paryas,7,92,1,7
kam,7,84,3,5
ude,7,83,1,7
ñj,7,83,2,6
abhyave,7,82,1,7
kutsay,7,78,3,5
unmṛj,7,75,1,7
abhisaṃdhā,7,74,1,7
ghas,7,73,1,7
vivās,7,73,2,5
johav,7,72,2,6
lehay,7,69,3,4
guṇṭhay,7,68,3,3
unmuc,7,65,1,7
ṣā,7,64,3,5
nakṣ,7,62,2,6
svaday,7,60,1,7
upāp,7,55,1,7
ṣpāday,7,52,1,7
saṃpreṣay,7,50,1,7
yas,7,48,5,5
anusaṃcar,7,47,1,7
parīṣ,7,46,1,7
radh,7,45,1,7
ṣkṛṣ,7,42,1,7
unmajj,7,41,1,7
chanday,7,40,2,6
ṣedhay,7,40,2,4
kaṇḍūy,7,37,1,7
roṣay,7,36,3,5
udvartay,7,35,1,7
tambh,7,34,2,5
dhi,7,33,2,5
īṣ,7,33,3,5
mṛṇ,7,30,2,6
drā,7,29,3,5
svāpay,7,29,2,6
gaveṣay,7,23,1,7
parinirvāpay,7,23,1,7
marjay,7,22,2,6
nyubj,7,21,1,7
vyac,7,21,2,6
śnath,7,21,1,7
ṣāday,7,21,2,4
samupās,7,20,1,7
śrath,7,20,2,6
pratisaṃhṛ,7,19,1,7
raṭ,7,19,2,5
sisṛkṣ,7,18,4,5
yācay,7,18,2,6
barhay,7,16,2,5
bhaṣ,7,16,3,5
rūkṣay,7,14,2,5
sajjay,7,14,2,6
āyay,7,14,2,6
ṣkrāmay,7,14,1,7
anveṣay,7,13,1,7
bādhay,7,12,3,6
gāpay,7,12,3,4
