root,valency_path_c,total_tokens,distinct_preverbs,distinct_pratyayas
anusaṃnud,2,2,1,2
anusaṃtṛ,2,2,1,2
anusaṃvarṇay,2,2,1,2
anusaṃvye,2,2,1,2
anuvyave,2,2,1,2
anvaś,2,2,1,2
anūpaviś,2,2,1,2
apuvāy,2,2,1,2
balay,2,2,2,1
bhāray,2,2,2,2
bhārāy,2,2,1,2
bhāyay,2,2,1,2
canasy,2,2,1,2
caniṣkad,2,2,1,2
churay,2,2,1,2
cikrīḍ,2,2,1,2
cikrīṣ,2,2,2,2
cyavay,2,2,1,2
cyotay,2,2,2,1
dad,2,2,1,2
dasay,2,2,1,2
daṃsay,2,2,1,2
dhardhṛ,2,2,1,2
dharmay,2,2,1,2
dhiyāy,2,2,1,2
dhunay,2,2,1,2
dhyāpay,2,2,2,1
dhūsarīkṛ,2,2,1,2
didhīrṣ,2,2,1,2
didīkṣiṣ,2,2,1,2
div,2,2,1,2
drumāy,2,2,1,2
drāghay,2,2,1,2
durmanāy,2,2,1,2
ejay,2,2,1,2
gadh,2,2,2,1
grahay,2,2,1,2
grathay,2,2,2,2
haray,2,2,2,2
hreṣ,2,2,1,2
jaḍay,2,2,1,2
jehrīy,2,2,1,2
jṛmbhay,2,2,1,2
kac,2,2,2,1
kadarth,2,2,1,2
kaṭṭay,2,2,2,1
khelay,2,2,1,2
krāpay,2,2,1,2
kuts,2,2,1,2
kārāpay,2,2,1,2
kūḍay,2,2,1,2
laghūy,2,2,1,2
luḍ,2,2,2,1
malay,2,2,1,2
mithunīsaṃbhū,2,2,1,2
mlech,2,2,1,2
moṣay,2,2,2,2
mrad,2,2,2,2
muñcay,2,2,1,2
mṛg,2,2,2,1
nimrad,2,2,1,2
ninits,2,2,1,2
nirgṛ,2,2,1,2
niḥsvar,2,2,1,2
niṣpattray,2,2,1,2
nu,2,2,2,2
palpūlay,2,2,1,2
parekṣ,2,2,1,2
parisaṃstṛ,2,2,1,2
paryupe,2,2,1,2
parīndh,2,2,1,2
paṅkay,2,2,1,2
pibd,2,2,2,1
praparīkṣ,2,2,1,2
pratilomay,2,2,1,2
pratisaṃhṛṣ,2,2,1,2
pratisaṃkram,2,2,1,2
pratyavarohay,2,2,1,2
pratyuccāray,2,2,1,2
pratyādhā,2,2,1,2
praścotay,2,2,1,2
praṇaś,2,2,1,2
protkṛt,2,2,1,2
prārjay,2,2,1,2
pāpac,2,2,1,2
pāpat,2,2,1,2
pūrṇay,2,2,2,2
rac,2,2,2,2
randhray,2,2,1,2
ririkṣ,2,2,1,2
rj,2,2,1,2
samavadhāray,2,2,1,2
samavaśamay,2,2,1,2
samunmuc,2,2,1,2
samārurukṣ,2,2,1,2
saphalay,2,2,1,2
saṃgrāmay,2,2,1,2
saṃniras,2,2,1,2
sisṛps,2,2,2,2
siñj,2,2,2,1
sphāy,2,2,1,2
stobhay,2,2,1,2
stāvay,2,2,2,2
svanay,2,2,2,2
taraṅgāy,2,2,1,2
taruṣ,2,2,1,2
taviṣīy,2,2,1,2
timiray,2,2,1,2
titṛd,2,2,2,2
tośay,2,2,2,1
tālay,2,2,1,2
ucchuṣ,2,2,1,2
ucchāday,2,2,1,2
udbrū,2,2,1,2
udukṣ,2,2,1,2
udyudh,2,2,1,2
ullap,2,2,1,2
upaprastu,2,2,1,2
upasaṃrudh,2,2,1,2
upeṣ,2,2,1,2
upārch,2,2,1,2
vapuṣy,2,2,1,2
vardhāpay,2,2,1,2
varīvṛj,2,2,2,2
vimukhay,2,2,1,2
vinirbhuj,2,2,1,2
vinirmathay,2,2,1,2
vipariśṛ,2,2,1,2
vivṛts,2,2,2,2
vyapohay,2,2,1,2
vyavokṣ,2,2,1,2
vyupaparīkṣ,2,2,1,2
vīrts,2,2,1,2
yoktray,2,2,1,2
āmīv,2,2,1,2
ārtīy,2,2,2,2
śabalay,2,2,1,2
śalyay,2,2,2,2
śikṣāpay,2,2,1,2
ślāghay,2,2,1,2
śośubh,2,2,1,2
śrāṇay,2,2,1,2
śṛṅkhalay,2,2,1,2
ś￞,2,2,1,2
ṣañjay,2,2,2,2
prāh,1,1220,1,1
anvah,1,337,1,1
īpsay,1,280,1,1
antargam,1,143,1,1
parinirvṛ,1,102,1,1
pratyutpad,1,75,1,1
puṭay,1,62,1,1
cak,1,48,1,1
homay,1,48,1,1
pratisaṃyuj,1,46,1,1
nādh,1,28,1,1
sumanasy,1,27,1,1
anūpasthā,1,25,1,1
vyākhyānay,1,23,1,1
śuśubh,1,20,1,1
khac,1,18,1,1
prendh,1,18,1,1
abhisamprekṣ,1,16,1,1
hṛṇīy,1,16,1,1
abhisaṃkrudh,1,14,1,1
abhisaṃkṣip,1,13,1,1
unnabhay,1,13,1,1
er,1,12,1,1
mukulay,1,12,1,1
viday,1,12,1,1
dhūpāy,1,11,1,1
samupāś,1,11,1,1
udbudh,1,11,1,1
upodyam,1,11,1,1
parinirmā,1,10,1,1
sīmantay,1,10,1,1
unmaday,1,10,1,1
īrts,1,10,1,1
ṣiñcay,1,10,1,1
parisaṃlih,1,9,1,1
sakhīy,1,9,1,1
samprāś,1,9,1,1
samupārjay,1,9,1,1
taruṇāy,1,9,1,1
vyadhay,1,9,1,1
vātāy,1,9,1,1
āndolay,1,9,1,1
devāy,1,8,1,1
dudh,1,8,1,1
samudvīkṣ,1,8,1,1
śyāmāy,1,8,1,1
anuparihṛ,1,7,1,1
atyāśay,1,7,1,1
bhasm,1,7,1,1
gumph,1,7,1,1
karuṇāy,1,7,1,1
laḍ,1,7,1,1
panipn,1,7,1,1
raṇv,1,7,1,1
tim,1,7,1,1
āvirbubhūṣ,1,7,1,1
śrathāy,1,7,1,1
abhyunnam,1,6,1,1
anusaṃrabh,1,6,1,1
brahmaṇy,1,6,1,1
janīy,1,6,1,1
paryah,1,6,1,1
pratiyāśru,1,6,1,1
prodi,1,6,1,1
rjay,1,6,1,1
samunmiṣ,1,6,1,1
samunnah,1,6,1,1
śvit,1,6,1,1
ṣekay,1,6,1,1
abhinirmuc,1,5,1,1
abhisaṃtyaj,1,5,1,1
amitray,1,5,1,1
anuvyūh,1,5,1,1
anūtsad,1,5,1,1
avayātay,1,5,1,1
garbhīkṛ,1,5,1,1
iñj,1,5,1,1
khañj,1,5,1,1
nire,1,5,1,1
paryāsic,1,5,1,1
pinvay,1,5,1,1
pratinirgrah,1,5,1,1
samabhyañj,1,5,1,1
samabhyukṣ,1,5,1,1
samujjval,1,5,1,1
samullaṅghay,1,5,1,1
saṃnirīkṣ,1,5,1,1
visaṃyuj,1,5,1,1
yād,1,5,1,1
āñch,1,5,1,1
ṣkṝ,1,5,1,1
abhyalaṃkṛ,1,4,1,1
abhyākṛ,1,4,1,1
anupare,1,4,1,1
anusaṃcintay,1,4,1,1
anusaṃjvar,1,4,1,1
anūdas,1,4,1,1
ativācay,1,4,1,1
aviṣy,1,4,1,1
avyaktay,1,4,1,1
aṅg,1,4,1,1
caṭāy,1,4,1,1
cup,1,4,1,1
cācal,1,4,1,1
duchunāy,1,4,1,1
ghuraghurāy,1,4,1,1
gṛhṇāpay,1,4,1,1
kuṭṭ,1,4,1,1
luṇṭhay,1,4,1,1
nyer,1,4,1,1
ojāy,1,4,1,1
panasy,1,4,1,1
panīphaṇ,1,4,1,1
pariprāpay,1,4,1,1
pronmiṣ,1,4,1,1
rdh,1,4,1,1
rirakṣ,1,4,1,1
rṣ,1,4,1,1
samullup,1,4,1,1
saṃdhay,1,4,1,1
saṃvlī,1,4,1,1
troṭay,1,4,1,1
udañj,1,4,1,1
udbhāsay,1,4,1,1
udguh,1,4,1,1
ujjāpay,1,4,1,1
ullokay,1,4,1,1
unnaś,1,4,1,1
upasaṃbhṛ,1,4,1,1
śūlay,1,4,1,1
abhinirbhid,1,3,1,1
abhisaṃgṛ,1,3,1,1
abhivyan,1,3,1,1
abhivyukṣ,1,3,1,1
abhyunnamay,1,3,1,1
abhyutkṣip,1,3,1,1
abhyutsad,1,3,1,1
amṛtāy,1,3,1,1
anuhu,1,3,1,1
anuninard,1,3,1,1
anuparyukṣ,1,3,1,1
anusaṃsāray,1,3,1,1
anusaṃvrājay,1,3,1,1
anūddiś,1,3,1,1
anūtpad,1,3,1,1
caṭacaṭāy,1,3,1,1
cikalpay,1,3,1,1
drū,1,3,1,1
dādhṛ,1,3,1,1
jhaṇajhaṇāy,1,3,1,1
karālay,1,3,1,1
kavīy,1,3,1,1
markaṭībhū,1,3,1,1
masṛṇay,1,3,1,1
mukulāy,1,3,1,1
narīnart,1,3,1,1
paribibādh,1,3,1,1
parisaṃtap,1,3,1,1
pattray,1,3,1,1
pay,1,3,1,1
pepiś,1,3,1,1
pratiniṣkram,1,3,1,1
pratyupalamb,1,3,1,1
pratyāsāday,1,3,1,1
proccar,1,3,1,1
puruṣāy,1,3,1,1
puṣp,1,3,1,1
rathary,1,3,1,1
rājāy,1,3,1,1
samadhyās,1,3,1,1
samucchal,1,3,1,1
saniṣyad,1,3,1,1
stabhūy,1,3,1,1
sumnāy,1,3,1,1
svapnāy,1,3,1,1
sviṣṭakṛ,1,3,1,1
tvaṅg,1,3,1,1
udbhā,1,3,1,1
udgal,1,3,1,1
udghaṭṭay,1,3,1,1
upapragrah,1,3,1,1
uperts,1,3,1,1
utpā,1,3,1,1
vevīy,1,3,1,1
vikṣālay,1,3,1,1
vilok,1,3,1,1
vinirbharts,1,3,1,1
viniṣkṛṣ,1,3,1,1
viniṣpad,1,3,1,1
visaṃhan,1,3,1,1
vyāyātay,1,3,1,1
vīps,1,3,1,1
ślathay,1,3,1,1
śundhay,1,3,1,1
ṣkuṣ,1,3,1,1
ṣplāvay,1,3,1,1
ṣpṛ,1,3,1,1
abhiparyūh,1,2,1,1
abhipratye,1,2,1,1
abhipreray,1,2,1,1
abhiprārthay,1,2,1,1
abhiprāvṛ,1,2,1,1
abhisaṃgup,1,2,1,1
abhisaṃhan,1,2,1,1
abhisaṃnī,1,2,1,1
abhisaṃstambh,1,2,1,1
abhisaṃsthāpay,1,2,1,1
abhisaṃstu,1,2,1,1
abhisaṃtṛ,1,2,1,1
abhisaṃvye,1,2,1,1
abhisaṃvṛdh,1,2,1,1
abhivihan,1,2,1,1
abhivīkṣay,1,2,1,1
abhyadhiric,1,2,1,1
abhyam,1,2,1,1
abhyatirecay,1,2,1,1
abhyavanejay,1,2,1,1
abhyucchanday,1,2,1,1
abhyuddiś,1,2,1,1
abhyupasic,1,2,1,1
abhyutkrāmay,1,2,1,1
abhyākanikrad,1,2,1,1
adhikṛṣ,1,2,1,1
adhisaṃvas,1,2,1,1
adhvary,1,2,1,1
adhyavasāyay,1,2,1,1
agghay,1,2,1,1
alar,1,2,1,1
annīy,1,2,1,1
anuniveṣṭ,1,2,1,1
anuparikalpay,1,2,1,1
anuparimṛj,1,2,1,1
anuproh,1,2,1,1
anuprās,1,2,1,1
anusaṃdṛś,1,2,1,1
anusaṃkhyāpay,1,2,1,1
anusaṃsparśay,1,2,1,1
anusaṃvid,1,2,1,1
anusaṃvā,1,2,1,1
anuvardhay,1,2,1,1
anuvibhā,1,2,1,1
anūdan,1,2,1,1
anūdgā,1,2,1,1
anūdvā,1,2,1,1
anūpadas,1,2,1,1
apajval,1,2,1,1
apapre,1,2,1,1
aparībhū,1,2,1,1
apej,1,2,1,1
apodūh,1,2,1,1
apyarjay,1,2,1,1
apātī,1,2,1,1
atiji,1,2,1,1
atyarjay,1,2,1,1
atyākṛ,1,2,1,1
avoh,1,2,1,1
balīy,1,2,1,1
baṃh,1,2,1,1
baṃhay,1,2,1,1
bhairavāy,1,2,1,1
bhaṇḍay,1,2,1,1
bubhūrṣ,1,2,1,1
būm,1,2,1,1
bṛhay,1,2,1,1
can,1,2,1,1
carcar,1,2,1,1
cichits,1,2,1,1
cūṣay,1,2,1,1
dadhīy,1,2,1,1
dhvasay,1,2,1,1
dhīray,1,2,1,1
dhūrṇāpay,1,2,1,1
dodhav,1,2,1,1
dudrukṣ,1,2,1,1
duḥkh,1,2,1,1
duḥkhay,1,2,1,1
dvaṃdvībhū,1,2,1,1
dveṣay,1,2,1,1
heḍay,1,2,1,1
hikk,1,2,1,1
iṣaṇ,1,2,1,1
jijaniṣ,1,2,1,1
jīvāpay,1,2,1,1
kalahāy,1,2,1,1
kathāpay,1,2,1,1
khal,1,2,1,1
khaṇakhaṇāy,1,2,1,1
klībay,1,2,1,1
kratūy,1,2,1,1
kvaṇay,1,2,1,1
kāṭay,1,2,1,1
kṣemay,1,2,1,1
kṣāmay,1,2,1,1
lāgay,1,2,1,1
lāḍay,1,2,1,1
maitrāy,1,2,1,1
may,1,2,1,1
maṇṭ,1,2,1,1
mekṣay,1,2,1,1
momuh,1,2,1,1
mreḍ,1,2,1,1
mānuṣībhū,1,2,1,1
māṃsīy,1,2,1,1
mūrchāpay,1,2,1,1
mṛch,1,2,1,1
mṛkṣay,1,2,1,1
mṛt,1,2,1,1
nagarāy,1,2,1,1
narmay,1,2,1,1
nikṛ,1,2,1,1
nimeṣay,1,2,1,1
nirjigamiṣ,1,2,1,1
niṣku,1,2,1,1
niṣvar,1,2,1,1
nyuṣ,1,2,1,1
nyūṅkh,1,2,1,1
nyṛj,1,2,1,1
nīlāy,1,2,1,1
panāy,1,2,1,1
pariprāp,1,2,1,1
parisaṃsthā,1,2,1,1
parisaṃstu,1,2,1,1
pattīy,1,2,1,1
patīy,1,2,1,1
phenāy,1,2,1,1
plavāy,1,2,1,1
prasaṃdhā,1,2,1,1
pratigranth,1,2,1,1
pratinirdiś,1,2,1,1
pratisaṃhan,1,2,1,1
pratisaṃrudh,1,2,1,1
pratisaṃviś,1,2,1,1
pratyabhiṣic,1,2,1,1
pratyudvāday,1,2,1,1
pratīpay,1,2,1,1
procchri,1,2,1,1
prodyam,1,2,1,1
pronnam,1,2,1,1
protkaṇṭhay,1,2,1,1
protkṣip,1,2,1,1
proḍḍī,1,2,1,1
pupukṣ,1,2,1,1
pīḍ,1,2,1,1
rajay,1,2,1,1
rephāy,1,2,1,1
rips,1,2,1,1
rāhay,1,2,1,1
sabhāgay,1,2,1,1
samabhipre,1,2,1,1
samabhiprekṣ,1,2,1,1
samabhisaṃdhā,1,2,1,1
samabhivyañj,1,2,1,1
samer,1,2,1,1
sampratīṣ,1,2,1,1
samucchvi,1,2,1,1
samudgā,1,2,1,1
samullāsay,1,2,1,1
samunmā,1,2,1,1
samunnamay,1,2,1,1
samutkvāthay,1,2,1,1
samutsāhay,1,2,1,1
samāśleṣay,1,2,1,1
saniṣṇ,1,2,1,1
saṃkṣṇu,1,2,1,1
saṃniṣpāday,1,2,1,1
saṃpradhāv,1,2,1,1
saṃprasarpay,1,2,1,1
saṃprendh,1,2,1,1
saṃprāh,1,2,1,1
saṃrej,1,2,1,1
sisīrṣ,1,2,1,1
sthirāy,1,2,1,1
sumnay,1,2,1,1
svaray,1,2,1,1
tanūkṛ,1,2,1,1
timay,1,2,1,1
tiray,1,2,1,1
titarpay,1,2,1,1
tujay,1,2,1,1
tāv,1,2,1,1
ucchocay,1,2,1,1
udvadh,1,2,1,1
udvṛṣ,1,2,1,1
udṛṣ,1,2,1,1
ullāghay,1,2,1,1
ullālay,1,2,1,1
unmahay,1,2,1,1
unmeṣay,1,2,1,1
unnāday,1,2,1,1
upadhā,1,2,1,1
upanikṣ,1,2,1,1
upapalyāy,1,2,1,1
upaplāy,1,2,1,1
upasaṃprach,1,2,1,1
upasaṃyuj,1,2,1,1
upodi,1,2,1,1
utpradā,1,2,1,1
uñchay,1,2,1,1
vacasy,1,2,1,1
valgay,1,2,1,1
valgūy,1,2,1,1
vastray,1,2,1,1
veveṣṭ,1,2,1,1
vidhuray,1,2,1,1
vinirbhā,1,2,1,1
vinirlikh,1,2,1,1
vinirṇī,1,2,1,1
viniṣpīḍay,1,2,1,1
viprachid,1,2,1,1
visaṃmuh,1,2,1,1
visaṃvāday,1,2,1,1
viṣāy,1,2,1,1
vlag,1,2,1,1
vrīḍay,1,2,1,1
vyavabhid,1,2,1,1
vyavaśad,1,2,1,1
vyavās,1,2,1,1
vyādhīy,1,2,1,1
vīkṣay,1,2,1,1
vīṅg,1,2,1,1
yeṣ,1,2,1,1
śakalay,1,2,1,1
śapathīy,1,2,1,1
śaraṇīkṛ,1,2,1,1
ślath,1,2,1,1
ślokay,1,2,1,1
śuj,1,2,1,1
śāśvas,1,2,1,1
śītay,1,2,1,1
śṛṅgār,1,2,1,1
ūṣmāy,1,2,1,1
ṇu,1,2,1,1
ṛtay,1,2,1,1
ṣkhan,1,2,1,1
ṣkūj,1,2,1,1
ṣpātay,1,2,1,1
ṣpāyay,1,2,1,1
ṣpṛc,1,2,1,1
ṣvap,1,2,1,1
abhavastṛ,1,1,1,1
abhici,1,1,1,1
abhicāray,1,1,1,1
abhidāhay,1,1,1,1
abhihas,1,1,1,1
abhimukhay,1,1,1,1
abhimīl,1,1,1,1
abhinidarśay,1,1,1,1
abhinigrah,1,1,1,1
abhinirbharts,1,1,1,1
abhinirvad,1,1,1,1
abhinirṇud,1,1,1,1
abhiniṣkrāmay,1,1,1,1
abhiniṣkṛ,1,1,1,1
abhiniṣpū,1,1,1,1
abhiparihan,1,1,1,1
abhiparihāray,1,1,1,1
abhiparyañj,1,1,1,1
abhiparyukṣ,1,1,1,1
abhipragam,1,1,1,1
abhipratyave,1,1,1,1
abhiprer,1,1,1,1
abhipreṣay,1,1,1,1
abhiprās,1,1,1,1
abhiroṣay,1,1,1,1
abhisaṃbhañj,1,1,1,1
abhisaṃchad,1,1,1,1
abhisaṃchāday,1,1,1,1
abhisaṃcintay,1,1,1,1
abhisaṃdah,1,1,1,1
abhisaṃdarśay,1,1,1,1
abhisaṃdih,1,1,1,1
abhisaṃhāray,1,1,1,1
abhisaṃhṛṣ,1,1,1,1
abhisaṃjvar,1,1,1,1
abhisaṃkalpay,1,1,1,1
abhisaṃkhyā,1,1,1,1
abhisaṃkruś,1,1,1,1
abhisaṃkṛ,1,1,1,1
abhisaṃlabh,1,1,1,1
abhisaṃmad,1,1,1,1
abhisaṃmuh,1,1,1,1
abhisaṃmṛś,1,1,1,1
abhisaṃrañj,1,1,1,1
abhisaṃrudh,1,1,1,1
abhisaṃsmṛ,1,1,1,1
abhisaṃspṛś,1,1,1,1
abhisaṃsthā,1,1,1,1
abhisaṃsvañj,1,1,1,1
abhisaṃsīv,1,1,1,1
abhisaṃsṛj,1,1,1,1
abhisaṃtras,1,1,1,1
abhisaṃvap,1,1,1,1
abhisaṃveṣṭ,1,1,1,1
abhisaṃvyadh,1,1,1,1
abhisaṃyat,1,1,1,1
abhisaṃyā,1,1,1,1
abhisaṃśleṣay,1,1,1,1
abhistanay,1,1,1,1
abhivinivartay,1,1,1,1
abhivinyas,1,1,1,1
abhiviparihṛ,1,1,1,1
abhiviṣyanday,1,1,1,1
abhivyavān,1,1,1,1
abhiśriṣ,1,1,1,1
abhyadhikībhū,1,1,1,1
abhyanumṛj,1,1,1,1
abhyarthīy,1,1,1,1
abhyatyṛj,1,1,1,1
abhyavagāhay,1,1,1,1
abhyavasnāpay,1,1,1,1
abhyavān,1,1,1,1
abhyavās,1,1,1,1
abhyudan,1,1,1,1
abhyudūh,1,1,1,1
abhyujji,1,1,1,1
abhyujjuṣ,1,1,1,1
abhyullas,1,1,1,1
abhyupās,1,1,1,1
abhyutsarj,1,1,1,1
abhyutsu,1,1,1,1
abhyutsṛp,1,1,1,1
adbhutāy,1,1,1,1
adharay,1,1,1,1
adhikhād,1,1,1,1
adhinirdham,1,1,1,1
adhinivap,1,1,1,1
adhinyas,1,1,1,1
adhipat,1,1,1,1
adhipraṇī,1,1,1,1
adhisaṃbhū,1,1,1,1
adhisaṃviś,1,1,1,1
adhisaṃyat,1,1,1,1
adhisnā,1,1,1,1
adhistṛ,1,1,1,1
adhyah,1,1,1,1
adhyaś,1,1,1,1
adhyupadhā,1,1,1,1
adhyāpat,1,1,1,1
adhyāyay,1,1,1,1
adhyṛdh,1,1,1,1
adhyṛṣ,1,1,1,1
adhīps,1,1,1,1
ajirāy,1,1,1,1
ajñānay,1,1,1,1
alasay,1,1,1,1
alaṃkāray,1,1,1,1
amalay,1,1,1,1
amitrāy,1,1,1,1
amṛtasādbhū,1,1,1,1
anaikāntikīkṛ,1,1,1,1
anaruṣkṛ,1,1,1,1
andhakāray,1,1,1,1
anniy,1,1,1,1
anubhakṣay,1,1,1,1
anuguṇībhū,1,1,1,1
anuhuṃkṛ,1,1,1,1
anukhan,1,1,1,1
anulamb,1,1,1,1
anunigad,1,1,1,1
anunirgam,1,1,1,1
anunyañj,1,1,1,1
anunyṛch,1,1,1,1
anupariviṣ,1,1,1,1
anuparye,1,1,1,1
anuparābhāvay,1,1,1,1
anupradiś,1,1,1,1
anuprajijñās,1,1,1,1
anupratihan,1,1,1,1
anupreray,1,1,1,1
anusamprayā,1,1,1,1
anusaṃbandh,1,1,1,1
anusaṃbhṛ,1,1,1,1
anusaṃci,1,1,1,1
anusaṃcāray,1,1,1,1
anusaṃdah,1,1,1,1
anusaṃdih,1,1,1,1
anusaṃdiś,1,1,1,1
anusaṃdru,1,1,1,1
anusaṃgrah,1,1,1,1
anusaṃjigamiṣ,1,1,1,1
anusaṃkālay,1,1,1,1
anusaṃmṛś,1,1,1,1
anusaṃpiṣ,1,1,1,1
anusaṃsādhay,1,1,1,1
anusaṃsṛ,1,1,1,1
anusaṃsṛj,1,1,1,1
anusaṃtṛp,1,1,1,1
anusaṃvah,1,1,1,1
anusaṃveday,1,1,1,1
anusaṃviś,1,1,1,1
anusaṃvāday,1,1,1,1
anusaṃvṛ,1,1,1,1
anuvimuc,1,1,1,1
anuvipravas,1,1,1,1
anuvyas,1,1,1,1
anuvyaś,1,1,1,1
anuṣvap,1,1,1,1
anvabhidhāv,1,1,1,1
anvapān,1,1,1,1
anvatī,1,1,1,1
anvavayaj,1,1,1,1
anvavekṣay,1,1,1,1
anvavās,1,1,1,1
anvāhan,1,1,1,1
anvāsāday,1,1,1,1
anvī,1,1,1,1
anvīkṣay,1,1,1,1
anūccāray,1,1,1,1
anūddhṛ,1,1,1,1
anūnmad,1,1,1,1
anūpadhāray,1,1,1,1
anūpayaj,1,1,1,1
anūtsāday,1,1,1,1
anūttiṣṭhās,1,1,1,1
apadhvaṃsay,1,1,1,1
apadā,1,1,1,1
apamṛś,1,1,1,1
apasaṃhṛ,1,1,1,1
apasaṃnah,1,1,1,1
apasaṃvas,1,1,1,1
apastambh,1,1,1,1
apasy,1,1,1,1
apavitray,1,1,1,1
apavātay,1,1,1,1
apekṣay,1,1,1,1
apipāthay,1,1,1,1
apive,1,1,1,1
apohay,1,1,1,1
apojjigāṃs,1,1,1,1
apotkram,1,1,1,1
apotsṛj,1,1,1,1
apyad,1,1,1,1
apyatyṛj,1,1,1,1
apye,1,1,1,1
apyūh,1,1,1,1
araṃkṛ,1,1,1,1
ardīy,1,1,1,1
argalay,1,1,1,1
aruṇāy,1,1,1,1
arātiy,1,1,1,1
arūkṛ,1,1,1,1
astaṃgamay,1,1,1,1
atipari,1,1,1,1
atipravṛ,1,1,1,1
atipreray,1,1,1,1
atipreṣ,1,1,1,1
atisad,1,1,1,1
atisaṃrudh,1,1,1,1
atisaṃvṛdh,1,1,1,1
atisisṛps,1,1,1,1
atitvaray,1,1,1,1
ativitsay,1,1,1,1
atyah,1,1,1,1
atye,1,1,1,1
atyujjhā,1,1,1,1
atyunnamay,1,1,1,1
atyupadhā,1,1,1,1
atyādhāv,1,1,1,1
atyānī,1,1,1,1
atyāvap,1,1,1,1
atīṣ,1,1,1,1
avadrā,1,1,1,1
avakampay,1,1,1,1
avamīmāṃs,1,1,1,1
avaplāvay,1,1,1,1
avarj,1,1,1,1
avasṛ,1,1,1,1
avatarpay,1,1,1,1
avavip,1,1,1,1
avavṛdh,1,1,1,1
avelay,1,1,1,1
aveṣ,1,1,1,1
aviśeṣay,1,1,1,1
avāj,1,1,1,1
avāpoh,1,1,1,1
avāvad,1,1,1,1
aśnāy,1,1,1,1
aḍhaṇḍholay,1,1,1,1
aṅkūy,1,1,1,1
baddhay,1,1,1,1
badh,1,1,1,1
badhiray,1,1,1,1
baladībhū,1,1,1,1
balbal,1,1,1,1
bandīkṛ,1,1,1,1
bebhid,1,1,1,1
bhajay,1,1,1,1
bhakṣaṃkṛ,1,1,1,1
bhandanāy,1,1,1,1
bhartsāpay,1,1,1,1
bhaṅguray,1,1,1,1
bheṣ,1,1,1,1
bhikṣay,1,1,1,1
bhiṣakkṛ,1,1,1,1
bhrāśay,1,1,1,1
bhrī,1,1,1,1
bhuraj,1,1,1,1
bhyas,1,1,1,1
bhāpay,1,1,1,1
bhāṭay,1,1,1,1
bhūṣaṇīkṛ,1,1,1,1
bhṛtyāy,1,1,1,1
bhṛśāy,1,1,1,1
bhṛṅgāy,1,1,1,1
bibhakṣay,1,1,1,1
bibhaṇiṣ,1,1,1,1
bobudh,1,1,1,1
bālāy,1,1,1,1
bāṇāy,1,1,1,1
bāṣpāy,1,1,1,1
cand,1,1,1,1
candrāy,1,1,1,1
capalāy,1,1,1,1
caraṇīy,1,1,1,1
carvay,1,1,1,1
caṅkṣam,1,1,1,1
caṭakāy,1,1,1,1
cechid,1,1,1,1
chal,1,1,1,1
chatrāy,1,1,1,1
chaṇṭay,1,1,1,1
chāyay,1,1,1,1
cicar,1,1,1,1
cichid,1,1,1,1
cidānandāy,1,1,1,1
cihnīkṛ,1,1,1,1
cikhādiṣ,1,1,1,1
cikīrtayiṣ,1,1,1,1
cintāpay,1,1,1,1
cittāy,1,1,1,1
ciściṣākṛ,1,1,1,1
ciṭiciṭāy,1,1,1,1
cucumbiṣ,1,1,1,1
culukay,1,1,1,1
cumacumāy,1,1,1,1
cūrṇīy,1,1,1,1
dabhāy,1,1,1,1
damany,1,1,1,1
dan,1,1,1,1
dandaś,1,1,1,1
danturay,1,1,1,1
davay,1,1,1,1
dayay,1,1,1,1
dedī,1,1,1,1
dhiṣaṇy,1,1,1,1
dhvānay,1,1,1,1
dhūsarībhū,1,1,1,1
didhārayiṣ,1,1,1,1
dodrav,1,1,1,1
dodu,1,1,1,1
dravay,1,1,1,1
dudhukṣ,1,1,1,1
dudhūṣ,1,1,1,1
durbalībhū,1,1,1,1
durgṛbhīy,1,1,1,1
durhaṇāy,1,1,1,1
durjanāy,1,1,1,1
durlabhībhū,1,1,1,1
duḥkhāy,1,1,1,1
duḥkhīy,1,1,1,1
dyutay,1,1,1,1
dādhmā,1,1,1,1
dāyay,1,1,1,1
dīkṣāpay,1,1,1,1
dīrghay,1,1,1,1
erts,1,1,1,1
gadāy,1,1,1,1
gai,1,1,1,1
gajībhū,1,1,1,1
galahastay,1,1,1,1
gard,1,1,1,1
garuḍāy,1,1,1,1
garv,1,1,1,1
gaṅgūy,1,1,1,1
gaṇḍūṣay,1,1,1,1
ghoṣāpay,1,1,1,1
ghṛṇāy,1,1,1,1
giray,1,1,1,1
gomayāy,1,1,1,1
guḍaguḍāy,1,1,1,1
guḍguḍāy,1,1,1,1
guṇṭh,1,1,1,1
gāmay,1,1,1,1
gānīkṛ,1,1,1,1
gūrdhay,1,1,1,1
gṛbhay,1,1,1,1
hambhāy,1,1,1,1
haritāy,1,1,1,1
hastīkṛ,1,1,1,1
haṃsībhū,1,1,1,1
hel,1,1,1,1
hikkay,1,1,1,1
huvany,1,1,1,1
hvalay,1,1,1,1
hvāray,1,1,1,1
hāsarasāy,1,1,1,1
hūrchay,1,1,1,1
hṛṇāy,1,1,1,1
icchāpay,1,1,1,1
ikramiṣ,1,1,1,1
indhanībhū,1,1,1,1
indray,1,1,1,1
iradh,1,1,1,1
iyasy,1,1,1,1
iṣaṇay,1,1,1,1
iṣūy,1,1,1,1
jalāy,1,1,1,1
