root,preverb,pratyaya_class,count
sphoṭay,,fin:Pres+Imp+Act,2
sphoṭay,pra,nfin:Part,2
sphoṭay,ā,fin:Impf+Ind+Act,2
sphoṭay,ā,fin:Pres+Ind+Act,2
sphur,,fin:Fut+Ind+Act,2
sphur,pra,fin:Pres+Ind+Act,2
sphur,sam,fin:Pres+Imp+Act,2
sphur,vi,fin:Past+Ind+Act,2
sphuṭ,,fin:Pres+Imp+Act,2
sphuṭay,,fin:Pres+Ind+Act,2
sphālay,ā,fin:Pres+Ind+Act,2
sphūrjay,vi,nfin:Part,2
spāray,,fin:Impf+Ind+Act,2
spāśay,,fin:Pres+Imp+Act,2
spāśay,,nfin:Conv,2
spṛ,,fin:Past+Jus+Act,2
spṛ,ā,fin:Pres+Ind+Act,2
spṛ,ā,nfin:Part,2
spṛdh,,fin:Pres+Jus+Act,2
spṛś,,fin:Impf+Ind+Pass,2
spṛś,,fin:Past+Sub+Act,2
spṛś,,fin:Pres+Opt+Pass,2
spṛś,abhi,fin:Impf+Ind+Act,2
spṛś,abhi,fin:Pres+Opt+Act,2
spṛś,abhi,nfin:Part,2
spṛś,ni,fin:Pres+Opt+Act,2
spṛś,pari,fin:Pres+Opt+Act,2
spṛś,pratyupa,nfin:Conv,2
spṛś,sam,fin:Pres+Ind+Pass,2
spṛś,sam,nfin:Gdv,2
spṛś,upa,nfin:Inf,2
spṛś,ā,nfin:Part,2
sraṃs,,fin:Pres+Opt+Act,2
sraṃs,pra,nfin:Conv,2
sraṃsay,vi,fin:Pres+Imp+Act,2
sraṃsay,vi,nfin:Gdv,2
sru,,nfin:Conv,2
sru,ati,fin:Pres+Ind+Act,2
sru,ati,fin:Pres+Opt+Act,2
sru,ni,fin:Pres+Ind+Act,2
sru,niḥ,fin:Pres+Ind+Act,2
sru,pari,fin:Past+Ind+Act,2
sru,pari,fin:Pres+Opt+Act,2
sru,pra,fin:Pres+Opt+Act,2
sru,vi,fin:Pres+Ind+Act,2
sru,ā,fin:Pres+Opt+Act,2
sru,ā,nfin:Part,2
srāvay,ava,fin:Pres+Ind+Act,2
srāvay,niḥ,nfin:Conv,2
srāvay,pari,nfin:Part,2
srāvay,pra,nfin:Conv,2
srāvay,saṃpra,fin:Pres+Ind+Act,2
srāvay,saṃpra,nfin:Conv,2
srāvay,ā,fin:Pres+Opt+Act,2
stabhāy,,nfin:Part,2
stambh,prati,fin:Impf+Ind+Act,2
stambh,sam,nfin:Part,2
stambh,upa,fin:Pres+Opt+Act,2
stambhay,upa,nfin:Part,2
stan,,fin:Past+Ind+Act,2
stan,,fin:Pres+Imp+Act,2
stan,,fin:Pres+Jus+Act,2
sthagay,,nfin:Conv,2
sthirāy,,fin:Pres+Ind+Act,2
sthā,,fin:Fut+Cond+Act,2
sthā,,fin:Past+Prec+Act,2
sthā,abhipra,fin:Pres+Ind+Act,2
sthā,abhisaṃpra,fin:Pres+Opt+Act,2
sthā,abhyupa,fin:Pres+Ind+Act,2
sthā,anupra,fin:Pres+Ind+Act,2
sthā,anvava,fin:Past+Ind+Act,2
sthā,ava,fin:Fut+Ind+Act,2
sthā,pratyupa,fin:Impf+Ind+Act,2
sthā,pratyupa,fin:Pres+Sub+Act,2
sthā,pratyā,nfin:Part,2
sthā,samanu,nfin:Part,2
sthā,samava,nfin:Conv,2
sthā,samupa,fin:Past+Ind+Act,2
sthā,samupa,nfin:Conv,2
sthā,samā,fin:Fut+Ind+Act,2
sthā,samā,fin:Impf+Ind+Act,2
sthā,samā,fin:Past+Ind+Act,2
sthā,samā,fin:Pres+Imp+Act,2
sthā,upā,fin:Pres+Imp+Act,2
sthā,vyava,fin:Pres+Opt+Act,2
sthāpay,abhipra,fin:Past+Ind+Act,2
sthāpay,ava,fin:Pres+Opt+Act,2
sthāpay,ava,nfin:Gdv,2
sthāpay,ava,nfin:Part,2
sthāpay,paryava,nfin:Part,2
sthāpay,pra,nfin:Inf,2
sthāpay,saṃpra,nfin:Conv,2
sthāpay,upa,nfin:Inf,2
sthāpay,vyava,nfin:Gdv,2
sthāpay,vyā,fin:Pres+Ind+Act,2
stigh,pra,fin:Pres+Opt+Act,2
stu,,fin:Past+Jus+Act,2
stu,,fin:Pres+Jus+Act,2
stu,pra,fin:Impf+Ind+Act,2
stu,sam,fin:Impf+Ind+Act,2
stu,upa,fin:Impf+Ind+Act,2
stu,ā,nfin:Part,2
styai,,fin:Pres+Ind+Act,2
stāray,niḥ,nfin:Conv,2
stāray,vi,fin:Fut+Ind+Act,2
stāray,vi,nfin:Conv,2
stāray,ā,fin:Pres+Opt+Act,2
stṛ,,fin:Past+Sub+Act,2
stṛ,,fin:Pres+Sub+Act,2
stṛ,anupra,fin:Pres+Ind+Act,2
stṛ,niḥ,fin:Fut+Ind+Act,2
stṛ,niḥ,fin:Pres+Imp+Act,2
stṛ,niḥ,nfin:Gdv,2
stṛ,pari,fin:Pres+Opt+Act,2
stṛ,samava,fin:Impf+Ind+Act,2
stṛ,upa,fin:Past+Ind+Act,2
stṛ,upa,fin:Pres+Imp+Act,2
stṛ,upa,fin:Pres+Opt+Act,2
stṛ,upa,nfin:Gdv,2
stṛ,ā,fin:Impf+Ind+Act,2
su,,fin:Plp+Ind+Act,2
su,,nfin:Conv,2
su,pari,nfin:Part,2
su,ā,nfin:Conv,2
sumnay,,nfin:Part,2
surabhay,,fin:Pres+Ind+Act,2
surabhay,,nfin:Part,2
svad,ā,nfin:Conv,2
svaday,,fin:Fut+Ind+Act,2
svaj,,fin:Pres+Ind+Act,2
svaj,,fin:Pres+Sub+Act,2
svan,niḥ,nfin:Part,2
svan,prati,fin:Past+Ind+Act,2
svap,pra,fin:Past+Ind+Act,2
svapasy,,fin:Pres+Ind+Act,2
svapasy,,nfin:Part,2
svar,abhi,fin:Pres+Ind+Act,2
svaray,,nfin:Part,2
svid,,nfin:Conv,2
svid,pari,nfin:Part,2
svid,ud,nfin:Part,2
svāday,,nfin:Gdv,2
svāday,ā,fin:Pres+Imp+Pass,2
svādhyāy,,nfin:Part,2
svāpay,pra,nfin:Part,2
syand,,nfin:Conv,2
syand,paripra,fin:Pres+Ind+Act,2
syand,pra,fin:Pres+Opt+Act,2
syanday,,fin:Pres+Ind+Act,2
syanday,sam,nfin:Part,2
sā,,fin:Past+Ind+Act,2
sā,abhyudava,fin:Pres+Ind+Act,2
sā,ava,fin:Fut+Ind+Act,2
sā,pratyava,fin:Pres+Opt+Act,2
sā,udava,nfin:Part,2
sā,vyava,fin:Fut+Ind+Act,2
sāday,,fin:Fut+Ind+Act,2
sāday,,fin:Past+Ind+Act,2
sāday,,fin:Pres+Ind+Pass,2
sāday,abhyut,fin:Past+Ind+Act,2
sāday,abhyā,nfin:Part,2
sāday,atyā,nfin:Gdv,2
sāday,ava,nfin:Conv,2
sāday,pra,fin:Fut+Ind+Act,2
sāday,samut,nfin:Conv,2
sāday,samā,fin:Impf+Ind+Act,2
sāday,saṃpra,fin:Impf+Ind+Act,2
sāday,ut,fin:Pres+Ind+Pass,2
sāday,ā,fin:Pres+Opt+Pass,2
sādh,,fin:Past+Jus+Act,2
sādh,,fin:Pres+Ind+Pass,2
sādhay,pari,nfin:Part,2
sādhay,pra,fin:Pres+Ind+Act,2
sādhay,pra,fin:Pres+Ind+Pass,2
sādhay,upa,fin:Pres+Opt+Act,2
sāhay,ud,fin:Pres+Opt+Act,2
sāhay,ud,nfin:Conv,2
sāntvay,,fin:Pres+Imp+Pass,2
sāntvay,pari,fin:Impf+Ind+Act,2
sāntvay,upa,nfin:Conv,2
sāray,,fin:Pres+Ind+Pass,2
sāray,abhi,nfin:Part,2
sāray,abhipra,fin:Pres+Opt+Act,2
sāray,apa,fin:Pres+Ind+Act,2
sāray,ati,fin:Pres+Opt+Pass,2
sāray,atyanu,fin:Pres+Opt+Act,2
sāray,ava,fin:Pres+Ind+Act,2
sāray,niḥ,fin:Pres+Ind+Act,2
sāray,niḥ,fin:Pres+Ind+Pass,2
sāray,pra,fin:Pres+Ind+Pass,2
sāray,sam,fin:Pres+Ind+Pass,2
sāray,sam,fin:Pres+Opt+Act,2
sāray,sampra,fin:Pres+Ind+Act,2
sāray,sampra,fin:Pres+Sub+Act,2
sāray,sampra,nfin:Conv,2
sāray,sampra,nfin:Part,2
sāray,samut,nfin:Part,2
sāray,ut,fin:Past+Ind+Act,2
sāray,ut,fin:Pres+Ind+Pass,2
sāray,ut,nfin:Gdv,2
sāyay,ava,fin:Pres+Ind+Act,2
sāyay,vyava,fin:Pres+Ind+Act,2
sīkṣ,,nfin:Part,2
sīv,pra,fin:Pres+Ind+Act,2
sīv,ud,nfin:Conv,2
sū,,fin:Pres+Jus+Act,2
sū,ā,fin:Pres+Ind+Act,2
sū,ā,fin:Pres+Sub+Act,2
sūcay,,fin:Impf+Ind+Act,2
sūcay,,fin:Pres+Opt+Act,2
sūcay,,nfin:Inf,2
sūd,,fin:Past+Imp+Act,2
sūd,,fin:Past+Ind+Act,2
sūday,,fin:Pres+Opt+Act,2
sūday,pra,fin:Pres+Ind+Act,2
sūtray,,fin:Pres+Ind+Pass,2
sūtray,,nfin:Part,2
sṛ,,fin:Impf+Ind+Act,2
sṛ,abhiniḥ,nfin:Conv,2
sṛ,anu,fin:Fut+Ind+Act,2
sṛ,anu,nfin:Inf,2
sṛ,apa,fin:Pres+Opt+Act,2
sṛ,apa,nfin:Gdv,2
sṛ,apa,nfin:Inf,2
sṛ,atyā,fin:Past+Ind+Act,2
sṛ,pra,fin:Pres+Opt+Act,2
sṛ,sam,fin:Fut+Ind+Act,2
sṛ,samabhi,nfin:Conv,2
sṛ,samupa,nfin:Part,2
sṛ,upa,nfin:Inf,2
sṛ,ut,nfin:Conv,2
sṛ,ut,nfin:Part,2
sṛ,vyanu,nfin:Conv,2
sṛj,abhi,fin:Past+Ind+Act,2
sṛj,abhyava,fin:Pres+Ind+Act,2
sṛj,anu,fin:Pres+Opt+Act,2
sṛj,anvava,fin:Impf+Ind+Act,2
sṛj,anvava,fin:Pres+Ind+Act,2
sṛj,anvava,nfin:Part,2
sṛj,niḥ,nfin:Inf,2
sṛj,niḥ,nfin:Part,2
sṛj,pra,fin:Past+Ind+Act,2
sṛj,prati,fin:Pres+Ind+Pass,2
sṛj,pratyapi,nfin:Conv,2
sṛj,pratyava,fin:Pres+Ind+Act,2
sṛj,sam,fin:Pres+Sub+Act,2
sṛj,sam,nfin:Gdv,2
sṛj,samava,fin:Pres+Opt+Act,2
sṛj,upāva,fin:Pres+Imp+Act,2
sṛj,vi,nfin:Inf,2
sṛp,,fin:Pres+Jus+Act,2
sṛp,abhipra,nfin:Part,2
sṛp,anuvi,nfin:Part,2
sṛp,ati,fin:Past+Ind+Act,2
sṛp,ava,nfin:Part,2
sṛp,niḥ,nfin:Conv,2
sṛp,pra,fin:Impf+Ind+Act,2
sṛp,pra,fin:Past+Ind+Act,2
sṛp,pra,fin:Pres+Imp+Act,2
sṛp,sam,fin:Past+Ind+Act,2
sṛp,sam,fin:Pres+Opt+Act,2
sṛp,samupa,fin:Impf+Ind+Act,2
sṛp,samupa,fin:Pres+Ind+Act,2
sṛp,samut,fin:Past+Ind+Act,2
sṛp,ut,fin:Impf+Ind+Act,2
sṛp,vyapa,nfin:Inf,2
takṣ,sam,fin:Past+Ind+Act,2
tam,,fin:Impf+Ind+Act,2
tam,pari,fin:Pres+Ind+Act,2
tam,pra,fin:Pres+Opt+Act,2
tam,upa,nfin:Conv,2
tambh,pratyut,fin:Pres+Jus+Act,2
tambh,ut,fin:Pres+Ind+Act,2
tan,abhyava,fin:Pres+Ind+Act,2
tan,ava,fin:Past+Ind+Act,2
tan,paryā,fin:Pres+Ind+Act,2
tan,ut,nfin:Part,2
tan,vi,fin:Impf+Ind+Act,2
tan,vi,fin:Pres+Opt+Act,2
tan,ā,fin:Pres+Imp+Act,2
tan,ā,nfin:Conv,2
tand,,fin:Pres+Ind+Act,2
tantray,,fin:Pres+Ind+Act,2
tanūkṛ,,fin:Pres+Ind+Act,2
tap,,fin:Past+Ind+Pass,2
tap,,fin:Past+Sub+Act,2
tap,,fin:Pres+Sub+Act,2
tap,anu,fin:Pres+Opt+Act,2
tap,ava,nfin:Part,2
tap,pari,fin:Impf+Ind+Act,2
tap,pari,nfin:Conv,2
tap,pra,fin:Impf+Ind+Act,2
tap,pra,fin:Pres+Opt+Act,2
tap,prati,fin:Past+Ind+Act,2
tap,prati,nfin:Part,2
tap,sam,fin:Pres+Opt+Act,2
tap,sam,nfin:Conv,2
tap,sam,nfin:Inf,2
tap,samupa,fin:Pres+Ind+Pass,2
tap,ā,nfin:Inf,2
tarjay,,nfin:Conv,2
tarjay,pari,nfin:Part,2
tarjay,sam,fin:Past+Ind+Act,2
tarkay,pari,fin:Pres+Ind+Act,2
tarkay,pra,fin:Pres+Opt+Act,2
tarkay,vi,nfin:Gdv,2
tarpay,,fin:Pres+Sub+Act,2
tarpay,pari,nfin:Part,2
tartar,vi,nfin:Part,2
tarṣay,,nfin:Part,2
tarṣay,vi,fin:Pres+Ind+Act,2
taviṣy,,nfin:Part,2
tañc,abhyā,fin:Pres+Ind+Act,2
taṃs,ava,fin:Pres+Imp+Pass,2
taṃsay,pari,nfin:Inf,2
thā,abhyut,fin:Impf+Ind+Act,2
thā,adhyut,nfin:Part,2
thā,anūt,nfin:Gdv,2
thā,pratyut,fin:Impf+Ind+Act,2
thā,pratyut,nfin:Inf,2
thā,samut,fin:Fut+Ind+Act,2
thā,samut,nfin:Gdv,2
thā,vyut,fin:Fut+Ind+Act,2
thā,vyut,fin:Pres+Ind+Act,2
thāpay,samut,fin:Pres+Opt+Act,2
thāpay,vyut,nfin:Part,2
tij,,nfin:Inf,2
tij,prati,fin:Past+Imp+Act,2
timay,,fin:Pres+Opt+Act,2
tiray,,nfin:Part,2
tirobhāvay,tiras,fin:Pres+Ind+Act,2
tirobhāvay,tiras,nfin:Gdv,2
tirobhū,tiras,fin:Pres+Ind+Act,2
tirobhū,tiras,nfin:Conv,2
tirodhā,tiras,nfin:Conv,2
titarpay,,fin:Pres+Opt+Act,2
titīrṣ,,fin:Pres+Opt+Act,2
tolay,,nfin:Gdv,2
toṣay,,nfin:Gdv,2
toṣay,pari,fin:Pres+Imp+Act,2
toṣay,pari,nfin:Conv,2
toṣay,sam,fin:Pres+Opt+Act,2
toṣay,sam,nfin:Gdv,2
toṣay,sam,nfin:Inf,2
toṣay,upa,nfin:Conv,2
trap,apa,fin:Impf+Ind+Act,2
trap,apa,fin:Pres+Opt+Act,2
trap,apa,nfin:Part,2
trap,vyapa,nfin:Part,2
tras,anu,nfin:Part,2
tras,sam,fin:Past+Jus+Act,2
tras,sam,fin:Pres+Opt+Act,2
tras,ud,fin:Past+Jus+Act,2
tras,ud,fin:Pres+Opt+Act,2
trā,,nfin:Conv,2
trā,pari,nfin:Conv,2
trāsay,,fin:Fut+Ind+Act,2
trāsay,,nfin:Inf,2
trāsay,ut,nfin:Conv,2
trāsay,vi,fin:Pres+Opt+Act,2
tsar,,fin:Past+Ind+Act,2
tsar,,fin:Pres+Ind+Act,2
tsar,,fin:Pres+Jus+Act,2
tsar,,nfin:Part,2
tud,,fin:Past+Ind+Act,2
tud,,fin:Pres+Opt+Act,2
tud,pari,nfin:Part,2
tud,pra,nfin:Part,2
tud,ā,fin:Impf+Ind+Act,2
tud,ā,fin:Past+Ind+Act,2
tujay,,nfin:Part,2
tulay,,fin:Pres+Ind+Pass,2
tulay,,fin:Pres+Opt+Act,2
tur,,nfin:Part,2
turay,,nfin:Part,2
tustūrṣ,,fin:Pres+Ind+Act,2
tuṣ,,fin:Fut+Ind+Act,2
tuṣ,,nfin:Inf,2
tvar,,fin:Impf+Ind+Act,2
tvar,,fin:Past+Ind+Act,2
tvar,abhi,fin:Pres+Ind+Act,2
tvar,pra,nfin:Part,2
tvar,sam,fin:Pres+Imp+Act,2
tvaray,,fin:Pres+Imp+Act,2
tvaray,,fin:Pres+Opt+Act,2
tyaj,,fin:Fut+Cond+Act,2
tyaj,ni,nfin:Part,2
tyaj,pari,fin:Pres+Ind+Pass,2
tyaj,sam,fin:Pres+Imp+Pass,2
tyaj,sam,fin:Pres+Ind+Pass,2
tyaj,sam,nfin:Inf,2
tyājay,,fin:Fut+Ind+Act,2
tyājay,,fin:Impf+Ind+Act,2
tāpay,,nfin:Gdv,2
tāpay,abhi,nfin:Conv,2
tāpay,pari,fin:Pres+Ind+Act,2
tāpay,pari,fin:Pres+Opt+Act,2
tāpay,sam,nfin:Inf,2
tāpay,upa,fin:Pres+Ind+Act,2
tāray,,nfin:Conv,2
tāray,ava,fin:Pres+Imp+Act,2
tāray,pra,fin:Pres+Ind+Act,2
tāray,pra,nfin:Gdv,2
tāray,pra,nfin:Inf,2
tāray,sam,fin:Pres+Imp+Act,2
tāray,samava,fin:Impf+Ind+Act,2
tāray,samava,fin:Pres+Opt+Act,2
tāray,ut,fin:Pres+Imp+Act,2
tāray,ut,fin:Pres+Ind+Pass,2
tāv,vi,fin:Pres+Ind+Act,2
tāḍay,,nfin:Gdv,2
tāḍay,sam,fin:Pres+Opt+Act,2
tāḍay,sam,nfin:Conv,2
tāḍay,vi,fin:Impf+Ind+Act,2
tṛ,anu,fin:Pres+Ind+Act,2
tṛ,sam,nfin:Inf,2
tṛ,samava,nfin:Inf,2
tṛ,samava,nfin:Part,2
tṛ,samut,fin:Pres+Ind+Act,2
tṛ,ā,fin:Pres+Jus+Act,2
tṛd,,nfin:Part,2
tṛd,ava,nfin:Part,2
tṛd,pari,nfin:Part,2
tṛd,sam,nfin:Gdv,2
tṛd,upa,fin:Pres+Opt+Act,2
tṛh,,fin:Pres+Ind+Act,2
tṛh,,nfin:Gdv,2
tṛp,abhi,nfin:Part,2
tṛp,sam,fin:Impf+Ind+Act,2
tṛp,sam,fin:Pres+Opt+Act,2
tṛṣ,,fin:Pres+Opt+Act,2
t￞,ati,fin:Fut+Ind+Act,2
ubh,,fin:Impf+Ind+Act,2
ubh,sam,nfin:Part,2
ubj,,fin:Impf+Ind+Act,2
uccar,ut,fin:Pres+Imp+Act,2
uccar,ut,fin:Pres+Sub+Act,2
uccheday,ut,fin:Pres+Imp+Act,2
ucchid,ut,nfin:Conv,2
ucchocay,ut,nfin:Part,2
ucchri,ut,fin:Pres+Ind+Pass,2
ucchvāsay,ut,fin:Pres+Ind+Pass,2
uccāṭay,ut,fin:Pres+Imp+Act,2
udaj,ut,fin:Pres+Ind+Act,2
udan,ut,fin:Impf+Ind+Act,2
udan,ut,fin:Pres+Opt+Act,2
udbandh,ut,nfin:Conv,2
udbhid,ut,fin:Pres+Ind+Act,2
udbhū,ut,fin:Impf+Ind+Act,2
udbādh,ut,fin:Pres+Opt+Act,2
uddhvaṃs,ut,fin:Pres+Ind+Act,2
uddhvaṃs,ut,nfin:Part,2
uddhvaṃsay,ut,fin:Pres+Ind+Act,2
uddhāray,ut,nfin:Conv,2
uddhṛ,ut,fin:Pres+Ind+Pass,2
uddih,ut,fin:Pres+Ind+Act,2
uddiś,ut,nfin:Inf,2
uddru,ut,fin:Past+Ind+Act,2
uddīp,ut,nfin:Part,2
uddīpay,ut,nfin:Conv,2
udgam,ut,fin:Past+Ind+Act,2
udgam,ut,fin:Pres+Opt+Act,2
udgam,ut,nfin:Conv,2
udghāṭay,ut,fin:Pres+Imp+Act,2
udghāṭay,ut,fin:Pres+Ind+Pass,2
udghāṭay,ut,nfin:Inf,2
udghṛṣ,ut,nfin:Part,2
udgā,ut,fin:Past+Jus+Act,2
udgāh,ut,fin:Past+Ind+Act,2
udgāh,ut,nfin:Part,2
udi,ut,fin:Pres+Ind+Pass,2
udvadh,ut,fin:Past+Jus+Act,2
udvam,ut,fin:Past+Ind+Act,2
udvartay,ut,fin:Past+Ind+Act,2
udvartay,ut,fin:Pres+Ind+Act,2
udvartay,ut,nfin:Inf,2
udve,ut,fin:Impf+Ind+Act,2
udve,ut,fin:Pres+Ind+Act,2
udvāhay,ut,fin:Pres+Opt+Act,2
udvīkṣ,udvi,fin:Pres+Ind+Act,2
udvṛh,ut,fin:Pres+Ind+Act,2
udvṛṣ,ut,nfin:Part,2
udyojay,ut,nfin:Part,2
udyuj,ut,fin:Pres+Ind+Act,2
udyā,ut,fin:Pres+Ind+Act,2
udāp,ut,fin:Impf+Ind+Act,2
udās,ut,nfin:Inf,2
udīkṣ,ut,fin:Pres+Imp+Pass,2
udīr,ut,fin:Pres+Sub+Act,2
udṛṣ,ut,nfin:Part,2
ujh,,fin:Pres+Imp+Act,2
ujjval,ut,fin:Past+Ind+Act,2
ujjvalay,ut,nfin:Part,2
ujjīvay,ut,nfin:Part,2
ukṣ,prati,fin:Pres+Ind+Act,2
ukṣ,vi,nfin:Part,2
ullambay,ut,fin:Impf+Ind+Act,2
ullas,ut,fin:Pres+Opt+Act,2
ullih,ud,nfin:Conv,2
ullikh,ut,fin:Past+Ind+Act,2
ullāghay,ud,nfin:Part,2
ullālay,ud,nfin:Part,2
und,,fin:Past+Ind+Act,2
und,,fin:Pres+Ind+Pass,2
und,vi,nfin:Part,2
unmad,ut,fin:Pres+Opt+Act,2
unmahay,ud,nfin:Part,2
unmajj,ut,fin:Impf+Ind+Act,2
unmajj,ut,fin:Past+Ind+Act,2
unmajj,ut,fin:Pres+Opt+Act,2
unmajjay,ut,fin:Pres+Ind+Act,2
unmeṣay,,fin:Pres+Ind+Act,2
unmiśray,ud,nfin:Part,2
unmuc,ut,fin:Impf+Ind+Pass,2
unmāday,ud,fin:Pres+Ind+Act,2
unmārjay,ut,nfin:Conv,2
unmīl,ut,fin:Pres+Ind+Pass,2
unmīlay,ut,fin:Pres+Ind+Act,2
unmūlay,ut,fin:Fut+Ind+Act,2
unmūlay,ut,fin:Pres+Ind+Pass,2
unmūlay,ut,fin:Pres+Opt+Act,2
unmūlay,ut,nfin:Inf,2
unmṛś,ut,fin:Pres+Ind+Act,2
unnah,ut,fin:Pres+Ind+Act,2
unnam,ut,fin:Past+Ind+Act,2
unnamay,ud,nfin:Gdv,2
unnāday,ud,nfin:Part,2
unnī,ut,fin:Past+Jus+Act,2
upadhā,,nfin:Part,2
upaghrāpay,,nfin:Conv,2
upamīmāṃs,,fin:Pres+Opt+Act,2
upanikṣ,,nfin:Conv,2
upaniṣkramay,upaniḥ,nfin:Conv,2
upanyas,upani,fin:Pres+Opt+Act,2
upapalyāy,,fin:Impf+Ind+Act,2
upaparīkṣ,upapari,nfin:Gdv,2
upaplāy,upapla,fin:Impf+Ind+Act,2
upapre,upapra,fin:Impf+Ind+Act,2
upapre,upapra,fin:Past+Ind+Act,2
upapre,upapra,fin:Pres+Ind+Act,2
upasaṃdhā,upasam,fin:Impf+Ind+Act,2
upasaṃdhā,upasam,fin:Pres+Imp+Act,2
upasaṃgrah,upasam,fin:Pres+Ind+Act,2
upasaṃkram,upasam,fin:Impf+Ind+Act,2
upasaṃpad,upasam,fin:Past+Ind+Act,2
upasaṃpad,upasam,fin:Pres+Opt+Act,2
upasaṃprach,upasam,nfin:Inf,2
upasaṃprāp,upasaṃpra,nfin:Conv,2
upasaṃpāday,upasam,fin:Pres+Ind+Act,2
upasaṃveśay,upasam,fin:Pres+Ind+Act,2
upasaṃviś,upasam,fin:Pres+Ind+Act,2
upasaṃyuj,upasam,nfin:Part,2
upasaṃśaṃs,upasam,fin:Pres+Ind+Act,2
upasaṃśri,upasam,nfin:Conv,2
upe,upā,nfin:Part,2
upekṣ,upa,fin:Pres+Opt+Pass,2
upeps,upa,fin:Pres+Opt+Act,2
upeps,upa,nfin:Part,2
upode,upodā,fin:Pres+Ind+Act,2
upode,upodā,fin:Pres+Opt+Act,2
upodi,upot,fin:Pres+Ind+Act,2
upāj,upa,fin:Impf+Ind+Act,2
upāp,upa,fin:Pres+Ind+Pass,2
upārjay,upa,nfin:Conv,2
upātī,upāti,fin:Pres+Ind+Act,2
upāv,upa,fin:Pres+Opt+Act,2
uruṣy,,fin:Pres+Jus+Act,2
utkaṇṭh,,fin:Pres+Ind+Act,2
utpradā,,nfin:Conv,2
utprekṣ,utpra,fin:Pres+Ind+Pass,2
utsukay,,fin:Pres+Ind+Act,2
uñchay,,nfin:Conv,2
uḍḍīy,,fin:Pres+Opt+Act,2
uṣ,,fin:Impf+Ind+Act,2
uṣ,,fin:Past+Ind+Act,2
uṣ,prati,fin:Pres+Ind+Act,2
vac,,fin:Fut+Pot+Act,2
vac,abhi,nfin:Inf,2
vac,adhi,fin:Past+Ind+Act,2
vac,anu,fin:Past+Prec+Act,2
vac,anupra,nfin:Part,2
vac,ati,nfin:Part,2
vac,atyanu,nfin:Part,2
vac,niḥ,nfin:Inf,2
vac,pari,nfin:Part,2
vac,parā,nfin:Part,2
vac,pra,fin:Pres+Imp+Pass,2
vac,pratipra,fin:Past+Ind+Act,2
vac,upa,fin:Past+Ind+Act,2
vac,ā,nfin:Part,2
vacasy,,fin:Pres+Ind+Act,2
vad,,fin:Fut+Cond+Act,2
vad,,fin:Past+Ind+Pass,2
vad,abhi,nfin:Inf,2
vad,anu,fin:Pres+Ind+Pass,2
vad,anupra,fin:Pres+Ind+Act,2
vad,apa,fin:Fut+Ind+Act,2
vad,apa,nfin:Part,2
vad,ati,nfin:Conv,2
vad,ava,fin:Pres+Ind+Act,2
vad,niḥ,fin:Past+Ind+Act,2
vad,niḥ,fin:Pres+Ind+Act,2
vad,pari,fin:Impf+Ind+Act,2
vad,pra,fin:Pres+Sub+Act,2
vad,prati,fin:Past+Ind+Pass,2
vad,prati,nfin:Part,2
vad,upapra,fin:Pres+Imp+Act,2
vad,vi,fin:Fut+Ind+Act,2
vad,vi,fin:Impf+Ind+Act,2
vad,vi,fin:Past+Ind+Act,2
vad,vi,fin:Pres+Imp+Act,2
vad,vyava,fin:Pres+Ind+Act,2
vad,ā,fin:Pres+Ind+Act,2
vadh,prati,fin:Past+Ind+Act,2
vadh,ā,fin:Past+Ind+Act,2
vah,,fin:Past+Jus+Act,2
vah,,fin:Past+Opt+Act,2
vah,,fin:Pres+Jus+Act,2
vah,abhi,fin:Fut+Ind+Act,2
vah,abhi,fin:Impf+Ind+Act,2
vah,abhi,fin:Pres+Opt+Act,2
vah,abhyā,fin:Pres+Opt+Act,2
vah,apa,fin:Impf+Ind+Act,2
vah,apa,nfin:Conv,2
vah,apa,nfin:Part,2
vah,api,fin:Pres+Ind+Act,2
vah,ni,fin:Past+Ind+Act,2
vah,ni,nfin:Part,2
vah,nirā,fin:Impf+Ind+Act,2
vah,niḥ,fin:Past+Ind+Act,2
vah,niḥ,nfin:Part,2
vah,pra,fin:Fut+Ind+Act,2
vah,samā,fin:Pres+Imp+Act,2
vah,udā,fin:Pres+Ind+Act,2
vah,upa,fin:Past+Ind+Act,2
vah,upa,fin:Pres+Ind+Act,2
vah,vi,fin:Pres+Ind+Pass,2
vah,ā,nfin:Conv,2
valg,,fin:Pres+Imp+Act,2
valg,sam,fin:Impf+Ind+Act,2
valg,vi,nfin:Part,2
valg,vyā,nfin:Part,2
valgay,ati,fin:Pres+Ind+Act,2
valgūy,,fin:Pres+Ind+Act,2
valh,pra,nfin:Conv,2
vam,abhi,nfin:Part,2
vam,ati,nfin:Part,2
vam,niḥ,fin:Pres+Ind+Act,2
vamay,,fin:Pres+Opt+Act,2
van,,fin:Fut+Ind+Act,2
van,,fin:Past+Prec+Act,2
vand,,fin:Past+Opt+Act,2
vand,abhi,nfin:Inf,2
vand,ā,nfin:Conv,2
vanuṣy,,fin:Pres+Ind+Act,2
vanuṣy,,fin:Pres+Sub+Act,2
vanīvāh,,fin:Pres+Opt+Act,2
vap,,fin:Pres+Jus+Act,2
vap,abhi,nfin:Conv,2
vap,apa,nfin:Conv,2
vap,ni,fin:Pres+Ind+Pass,2
