root,valency,tokens,tier
pratisaṃrabh,2,8,Monovalent
prārpay,2,8,Monovalent
prāyaścittīy,2,8,Monovalent
samutkliś,2,8,Monovalent
udbhās,2,8,Monovalent
udvyadh,2,8,Monovalent
utsarj,2,8,Monovalent
varivasy,2,8,Monovalent
vālay,2,8,Monovalent
vṛṣaṇy,2,8,Monovalent
ṇenij,2,8,Monovalent
ṛghāy,2,8,Monovalent
abhisaṃvas,2,7,Monovalent
abhivyāp,2,7,Monovalent
aperay,2,7,Monovalent
apyṛj,2,7,Monovalent
bruḍ,2,7,Monovalent
khel,2,7,Monovalent
mūtr,2,7,Monovalent
nidrā,2,7,Monovalent
paryavekṣ,2,7,Monovalent
pratisaṃlī,2,7,Monovalent
pratisaṃmud,2,7,Monovalent
pyai,2,7,Monovalent
taṃs,2,7,Monovalent
tustūrṣ,2,7,Monovalent
upaprekṣ,2,7,Monovalent
upokṣ,2,7,Monovalent
vyuddhṛ,2,7,Monovalent
śramay,2,7,Monovalent
ṣkhid,2,7,Monovalent
abhisamprāp,2,6,Monovalent
abhisaṃtan,2,6,Monovalent
anuvī,2,6,Monovalent
anūpe,2,6,Monovalent
dāsay,2,6,Monovalent
jeh,2,6,Monovalent
kavalay,2,6,Monovalent
kaṇṭhay,2,6,Monovalent
kumbhay,2,6,Monovalent
malinay,2,6,Monovalent
mreḍay,2,6,Monovalent
pariniści,2,6,Monovalent
paryam,2,6,Monovalent
pratyave,2,6,Monovalent
retay,2,6,Monovalent
samabhī,2,6,Monovalent
siñcay,2,6,Monovalent
tetij,2,6,Monovalent
udveṣṭay,2,6,Monovalent
ullih,2,6,Monovalent
unmiśray,2,6,Monovalent
upāve,2,6,Monovalent
ār,2,6,Monovalent
ṛjūy,2,6,Monovalent
abhisaṃbhṛ,2,5,Monovalent
abhisaṃgrah,2,5,Monovalent
adhyupekṣ,2,5,Monovalent
anuprāpay,2,5,Monovalent
anūtsṛj,2,5,Monovalent
araṇy,2,5,Monovalent
bhand,2,5,Monovalent
ccharday,2,5,Monovalent
daray,2,5,Monovalent
dhanāy,2,5,Monovalent
didhyās,2,5,Monovalent
ihīrṣ,2,5,Monovalent
jargur,2,5,Monovalent
jijyās,2,5,Monovalent
jijyūṣ,2,5,Monovalent
kaluṣay,2,5,Monovalent
ketay,2,5,Monovalent
kūrd,2,5,Monovalent
mokṣ,2,5,Monovalent
niravahan,2,5,Monovalent
niḥśī,2,5,Monovalent
nāvay,2,5,Monovalent
pratyucchri,2,5,Monovalent
pratyuddīp,2,5,Monovalent
prollas,2,5,Monovalent
samudghāṭay,2,5,Monovalent
saṃpare,2,5,Monovalent
saṃpreray,2,5,Monovalent
sku,2,5,Monovalent
taviṣy,2,5,Monovalent
udvṛh,2,5,Monovalent
unmudray,2,5,Monovalent
upasaṃvye,2,5,Monovalent
vipalyaṅgay,2,5,Monovalent
vipre,2,5,Monovalent
viṣṭ,2,5,Monovalent
vyapās,2,5,Monovalent
ṇoday,2,5,Monovalent
ṣkramay,2,5,Monovalent
abhinyubj,2,4,Monovalent
abhisaṃnam,2,4,Monovalent
anusaṃhṛ,2,4,Monovalent
ativālay,2,4,Monovalent
bhan,2,4,Monovalent
bhañjay,2,4,Monovalent
bhreṣ,2,4,Monovalent
bhrājay,2,4,Monovalent
caṭ,2,4,Monovalent
chidray,2,4,Monovalent
dandah,2,4,Monovalent
dhandhāy,2,4,Monovalent
dhīkṣ,2,4,Monovalent
granthay,2,4,Monovalent
hrepay,2,4,Monovalent
kalahay,2,4,Monovalent
likhāpay,2,4,Monovalent
līlāy,2,4,Monovalent
meday,2,4,Monovalent
nabhay,2,4,Monovalent
paryañj,2,4,Monovalent
paryaś,2,4,Monovalent
paryeṣay,2,4,Monovalent
phālay,2,4,Monovalent
pipīṣ,2,4,Monovalent
poplūy,2,4,Monovalent
pratinirvap,2,4,Monovalent
pratipare,2,4,Monovalent
pratisaṃkhyā,2,4,Monovalent
rī,2,4,Monovalent
samude,2,4,Monovalent
samutkṛ,2,4,Monovalent
stenay,2,4,Monovalent
svapasy,2,4,Monovalent
sīvay,2,4,Monovalent
taralay,2,4,Monovalent
titṛps,2,4,Monovalent
udubj,2,4,Monovalent
upaniḥsṛp,2,4,Monovalent
vasay,2,4,Monovalent
vācālay,2,4,Monovalent
ākulay,2,4,Monovalent
āmahīy,2,4,Monovalent
ṣṭyai,2,4,Monovalent
abhijvalay,2,3,Monovalent
abhiniras,2,3,Monovalent
abhyupekṣ,2,3,Monovalent
adhihan,2,3,Monovalent
anuniṣkram,2,3,Monovalent
anvarj,2,3,Monovalent
anvavān,2,3,Monovalent
anvāp,2,3,Monovalent
anūtkram,2,3,Monovalent
arth,2,3,Monovalent
atikṛ,2,3,Monovalent
atikṣāray,2,3,Monovalent
avakarṇay,2,3,Monovalent
avarohay,2,3,Monovalent
aśiśiṣ,2,3,Monovalent
bharv,2,3,Monovalent
chup,2,3,Monovalent
cicīṣ,2,3,Monovalent
ciray,2,3,Monovalent
coṣkūy,2,3,Monovalent
cumbay,2,3,Monovalent
dasyusādbhū,2,3,Monovalent
dhūmay,2,3,Monovalent
dudukṣ,2,3,Monovalent
ghar,2,3,Monovalent
ghūrṇay,2,3,Monovalent
golay,2,3,Monovalent
hvānay,2,3,Monovalent
hās,2,3,Monovalent
jaṅgah,2,3,Monovalent
joguv,2,3,Monovalent
jāsay,2,3,Monovalent
kandalay,2,3,Monovalent
kaṇ,2,3,Monovalent
kaṭakaṭāyay,2,3,Monovalent
kothay,2,3,Monovalent
krīḍāpay,2,3,Monovalent
makhasy,2,3,Monovalent
maṃhay,2,3,Monovalent
memy,2,3,Monovalent
mūlay,2,3,Monovalent
naday,2,3,Monovalent
nibhālay,2,3,Monovalent
nonud,2,3,Monovalent
nyund,2,3,Monovalent
nīrājay,2,3,Monovalent
pariniṣpad,2,3,Monovalent
parinyas,2,3,Monovalent
parisaṃcakṣ,2,3,Monovalent
paryanviṣ,2,3,Monovalent
paṇāy,2,3,Monovalent
pepīy,2,3,Monovalent
phāṇay,2,3,Monovalent
pramāṇay,2,3,Monovalent
pratiniryā,2,3,Monovalent
pratisaṃyat,2,3,Monovalent
pratyujjīv,2,3,Monovalent
pratyādhāv,2,3,Monovalent
pronmīlay,2,3,Monovalent
rip,2,3,Monovalent
samanvīkṣ,2,3,Monovalent
samudyā,2,3,Monovalent
samunmath,2,3,Monovalent
saraṇy,2,3,Monovalent
sarj,2,3,Monovalent
saṃnirvap,2,3,Monovalent
saṃprāśay,2,3,Monovalent
spāray,2,3,Monovalent
stigh,2,3,Monovalent
svādhyāy,2,3,Monovalent
tand,2,3,Monovalent
turay,2,3,Monovalent
uccheday,2,3,Monovalent
udbādh,2,3,Monovalent
uddhvaṃsay,2,3,Monovalent
uddih,2,3,Monovalent
udghṛṣ,2,3,Monovalent
ujjvalay,2,3,Monovalent
ullambay,2,3,Monovalent
unmajjay,2,3,Monovalent
unmārjay,2,3,Monovalent
upamīmāṃs,2,3,Monovalent
upaniṣkramay,2,3,Monovalent
upasaṃveśay,2,3,Monovalent
upasaṃviś,2,3,Monovalent
upasaṃśaṃs,2,3,Monovalent
utsukay,2,3,Monovalent
valh,2,3,Monovalent
vasūy,2,3,Monovalent
vevij,2,3,Monovalent
viparyūh,2,3,Monovalent
vividiṣ,2,3,Monovalent
viśaday,2,3,Monovalent
vānay,2,3,Monovalent
vāvāś,2,3,Monovalent
yuyūṣ,2,3,Monovalent
śardhay,2,3,Monovalent
śiśayiṣ,2,3,Monovalent
śyānay,2,3,Monovalent
ṇāyay,2,3,Monovalent
abhinirmi,2,2,Monovalent
abhinirīkṣ,2,2,Monovalent
abhinyas,2,2,Monovalent
abhipratī,2,2,Monovalent
abhipreṣ,2,2,Monovalent
abhisaṃcar,2,2,Monovalent
abhisaṃmīl,2,2,Monovalent
abhisaṃnah,2,2,Monovalent
abhisaṃyam,2,2,Monovalent
abhisaṃśliṣ,2,2,Monovalent
abhivyañjay,2,2,Monovalent
abhyatyūh,2,2,Monovalent
abhyudīray,2,2,Monovalent
abhyujjīv,2,2,Monovalent
abhīkṣ,2,2,Monovalent
adhisaṃdhā,2,2,Monovalent
adhyāsay,2,2,Monovalent
ahaṃkṛ,2,2,Monovalent
anuparilikh,2,2,Monovalent
anuparind,2,2,Monovalent
anupariplu,2,2,Monovalent
anusaṃnud,2,2,Monovalent
anusaṃtṛ,2,2,Monovalent
anusaṃvarṇay,2,2,Monovalent
anusaṃvye,2,2,Monovalent
anuvyave,2,2,Monovalent
anvaś,2,2,Monovalent
anūpaviś,2,2,Monovalent
apuvāy,2,2,Monovalent
balay,2,2,Monovalent
bhāray,2,2,Monovalent
bhārāy,2,2,Monovalent
bhāyay,2,2,Monovalent
canasy,2,2,Monovalent
caniṣkad,2,2,Monovalent
churay,2,2,Monovalent
cikrīḍ,2,2,Monovalent
cikrīṣ,2,2,Monovalent
cyavay,2,2,Monovalent
cyotay,2,2,Monovalent
dad,2,2,Monovalent
dasay,2,2,Monovalent
daṃsay,2,2,Monovalent
dhardhṛ,2,2,Monovalent
dharmay,2,2,Monovalent
dhiyāy,2,2,Monovalent
dhunay,2,2,Monovalent
dhyāpay,2,2,Monovalent
dhūsarīkṛ,2,2,Monovalent
didhīrṣ,2,2,Monovalent
didīkṣiṣ,2,2,Monovalent
div,2,2,Monovalent
drumāy,2,2,Monovalent
drāghay,2,2,Monovalent
durmanāy,2,2,Monovalent
ejay,2,2,Monovalent
gadh,2,2,Monovalent
grahay,2,2,Monovalent
grathay,2,2,Monovalent
haray,2,2,Monovalent
hreṣ,2,2,Monovalent
jaḍay,2,2,Monovalent
jehrīy,2,2,Monovalent
jṛmbhay,2,2,Monovalent
kac,2,2,Monovalent
kadarth,2,2,Monovalent
kaṭṭay,2,2,Monovalent
khelay,2,2,Monovalent
krāpay,2,2,Monovalent
kuts,2,2,Monovalent
kārāpay,2,2,Monovalent
kūḍay,2,2,Monovalent
laghūy,2,2,Monovalent
luḍ,2,2,Monovalent
malay,2,2,Monovalent
mithunīsaṃbhū,2,2,Monovalent
mlech,2,2,Monovalent
moṣay,2,2,Monovalent
mrad,2,2,Monovalent
muñcay,2,2,Monovalent
mṛg,2,2,Monovalent
nimrad,2,2,Monovalent
ninits,2,2,Monovalent
nirgṛ,2,2,Monovalent
niḥsvar,2,2,Monovalent
niṣpattray,2,2,Monovalent
nu,2,2,Monovalent
palpūlay,2,2,Monovalent
parekṣ,2,2,Monovalent
parisaṃstṛ,2,2,Monovalent
paryupe,2,2,Monovalent
parīndh,2,2,Monovalent
paṅkay,2,2,Monovalent
pibd,2,2,Monovalent
praparīkṣ,2,2,Monovalent
pratilomay,2,2,Monovalent
pratisaṃhṛṣ,2,2,Monovalent
pratisaṃkram,2,2,Monovalent
pratyavarohay,2,2,Monovalent
pratyuccāray,2,2,Monovalent
pratyādhā,2,2,Monovalent
praścotay,2,2,Monovalent
praṇaś,2,2,Monovalent
protkṛt,2,2,Monovalent
prārjay,2,2,Monovalent
pāpac,2,2,Monovalent
pāpat,2,2,Monovalent
pūrṇay,2,2,Monovalent
rac,2,2,Monovalent
randhray,2,2,Monovalent
ririkṣ,2,2,Monovalent
rj,2,2,Monovalent
samavadhāray,2,2,Monovalent
samavaśamay,2,2,Monovalent
samunmuc,2,2,Monovalent
samārurukṣ,2,2,Monovalent
saphalay,2,2,Monovalent
saṃgrāmay,2,2,Monovalent
saṃniras,2,2,Monovalent
sisṛps,2,2,Monovalent
siñj,2,2,Monovalent
sphāy,2,2,Monovalent
stobhay,2,2,Monovalent
stāvay,2,2,Monovalent
svanay,2,2,Monovalent
taraṅgāy,2,2,Monovalent
taruṣ,2,2,Monovalent
taviṣīy,2,2,Monovalent
timiray,2,2,Monovalent
titṛd,2,2,Monovalent
tośay,2,2,Monovalent
tālay,2,2,Monovalent
ucchuṣ,2,2,Monovalent
ucchāday,2,2,Monovalent
udbrū,2,2,Monovalent
udukṣ,2,2,Monovalent
udyudh,2,2,Monovalent
ullap,2,2,Monovalent
upaprastu,2,2,Monovalent
upasaṃrudh,2,2,Monovalent
upeṣ,2,2,Monovalent
upārch,2,2,Monovalent
vapuṣy,2,2,Monovalent
vardhāpay,2,2,Monovalent
varīvṛj,2,2,Monovalent
vimukhay,2,2,Monovalent
vinirbhuj,2,2,Monovalent
vinirmathay,2,2,Monovalent
vipariśṛ,2,2,Monovalent
vivṛts,2,2,Monovalent
vyapohay,2,2,Monovalent
vyavokṣ,2,2,Monovalent
vyupaparīkṣ,2,2,Monovalent
vīrts,2,2,Monovalent
yoktray,2,2,Monovalent
āmīv,2,2,Monovalent
ārtīy,2,2,Monovalent
śabalay,2,2,Monovalent
śalyay,2,2,Monovalent
śikṣāpay,2,2,Monovalent
ślāghay,2,2,Monovalent
śośubh,2,2,Monovalent
śrāṇay,2,2,Monovalent
śṛṅkhalay,2,2,Monovalent
ś￞,2,2,Monovalent
ṣañjay,2,2,Monovalent
prāh,1,1220,Monovalent
anvah,1,337,Monovalent
īpsay,1,280,Monovalent
antargam,1,143,Monovalent
parinirvṛ,1,102,Monovalent
pratyutpad,1,75,Monovalent
puṭay,1,62,Monovalent
cak,1,48,Monovalent
homay,1,48,Monovalent
pratisaṃyuj,1,46,Monovalent
nādh,1,28,Monovalent
sumanasy,1,27,Monovalent
anūpasthā,1,25,Monovalent
vyākhyānay,1,23,Monovalent
śuśubh,1,20,Monovalent
khac,1,18,Monovalent
prendh,1,18,Monovalent
abhisamprekṣ,1,16,Monovalent
hṛṇīy,1,16,Monovalent
abhisaṃkrudh,1,14,Monovalent
abhisaṃkṣip,1,13,Monovalent
unnabhay,1,13,Monovalent
er,1,12,Monovalent
mukulay,1,12,Monovalent
viday,1,12,Monovalent
dhūpāy,1,11,Monovalent
samupāś,1,11,Monovalent
udbudh,1,11,Monovalent
upodyam,1,11,Monovalent
parinirmā,1,10,Monovalent
sīmantay,1,10,Monovalent
unmaday,1,10,Monovalent
īrts,1,10,Monovalent
ṣiñcay,1,10,Monovalent
parisaṃlih,1,9,Monovalent
sakhīy,1,9,Monovalent
samprāś,1,9,Monovalent
samupārjay,1,9,Monovalent
taruṇāy,1,9,Monovalent
vyadhay,1,9,Monovalent
vātāy,1,9,Monovalent
āndolay,1,9,Monovalent
devāy,1,8,Monovalent
dudh,1,8,Monovalent
samudvīkṣ,1,8,Monovalent
śyāmāy,1,8,Monovalent
anuparihṛ,1,7,Monovalent
atyāśay,1,7,Monovalent
bhasm,1,7,Monovalent
gumph,1,7,Monovalent
karuṇāy,1,7,Monovalent
laḍ,1,7,Monovalent
panipn,1,7,Monovalent
raṇv,1,7,Monovalent
tim,1,7,Monovalent
āvirbubhūṣ,1,7,Monovalent
śrathāy,1,7,Monovalent
abhyunnam,1,6,Monovalent
anusaṃrabh,1,6,Monovalent
brahmaṇy,1,6,Monovalent
janīy,1,6,Monovalent
paryah,1,6,Monovalent
pratiyāśru,1,6,Monovalent
prodi,1,6,Monovalent
rjay,1,6,Monovalent
samunmiṣ,1,6,Monovalent
samunnah,1,6,Monovalent
śvit,1,6,Monovalent
ṣekay,1,6,Monovalent
abhinirmuc,1,5,Monovalent
abhisaṃtyaj,1,5,Monovalent
amitray,1,5,Monovalent
anuvyūh,1,5,Monovalent
anūtsad,1,5,Monovalent
avayātay,1,5,Monovalent
garbhīkṛ,1,5,Monovalent
iñj,1,5,Monovalent
khañj,1,5,Monovalent
nire,1,5,Monovalent
paryāsic,1,5,Monovalent
pinvay,1,5,Monovalent
pratinirgrah,1,5,Monovalent
samabhyañj,1,5,Monovalent
samabhyukṣ,1,5,Monovalent
samujjval,1,5,Monovalent
samullaṅghay,1,5,Monovalent
saṃnirīkṣ,1,5,Monovalent
visaṃyuj,1,5,Monovalent
yād,1,5,Monovalent
āñch,1,5,Monovalent
ṣkṝ,1,5,Monovalent
abhyalaṃkṛ,1,4,Monovalent
abhyākṛ,1,4,Monovalent
anupare,1,4,Monovalent
anusaṃcintay,1,4,Monovalent
anusaṃjvar,1,4,Monovalent
anūdas,1,4,Monovalent
ativācay,1,4,Monovalent
aviṣy,1,4,Monovalent
avyaktay,1,4,Monovalent
aṅg,1,4,Monovalent
caṭāy,1,4,Monovalent
cup,1,4,Monovalent
cācal,1,4,Monovalent
duchunāy,1,4,Monovalent
ghuraghurāy,1,4,Monovalent
gṛhṇāpay,1,4,Monovalent
kuṭṭ,1,4,Monovalent
luṇṭhay,1,4,Monovalent
nyer,1,4,Monovalent
ojāy,1,4,Monovalent
panasy,1,4,Monovalent
panīphaṇ,1,4,Monovalent
pariprāpay,1,4,Monovalent
pronmiṣ,1,4,Monovalent
rdh,1,4,Monovalent
rirakṣ,1,4,Monovalent
rṣ,1,4,Monovalent
samullup,1,4,Monovalent
saṃdhay,1,4,Monovalent
saṃvlī,1,4,Monovalent
troṭay,1,4,Monovalent
udañj,1,4,Monovalent
udbhāsay,1,4,Monovalent
udguh,1,4,Monovalent
ujjāpay,1,4,Monovalent
ullokay,1,4,Monovalent
unnaś,1,4,Monovalent
upasaṃbhṛ,1,4,Monovalent
śūlay,1,4,Monovalent
abhinirbhid,1,3,Monovalent
abhisaṃgṛ,1,3,Monovalent
abhivyan,1,3,Monovalent
abhivyukṣ,1,3,Monovalent
abhyunnamay,1,3,Monovalent
abhyutkṣip,1,3,Monovalent
abhyutsad,1,3,Monovalent
amṛtāy,1,3,Monovalent
anuhu,1,3,Monovalent
anuninard,1,3,Monovalent
anuparyukṣ,1,3,Monovalent
anusaṃsāray,1,3,Monovalent
anusaṃvrājay,1,3,Monovalent
anūddiś,1,3,Monovalent
anūtpad,1,3,Monovalent
caṭacaṭāy,1,3,Monovalent
cikalpay,1,3,Monovalent
drū,1,3,Monovalent
dādhṛ,1,3,Monovalent
jhaṇajhaṇāy,1,3,Monovalent
karālay,1,3,Monovalent
kavīy,1,3,Monovalent
markaṭībhū,1,3,Monovalent
masṛṇay,1,3,Monovalent
mukulāy,1,3,Monovalent
narīnart,1,3,Monovalent
paribibādh,1,3,Monovalent
parisaṃtap,1,3,Monovalent
pattray,1,3,Monovalent
pay,1,3,Monovalent
pepiś,1,3,Monovalent
pratiniṣkram,1,3,Monovalent
pratyupalamb,1,3,Monovalent
pratyāsāday,1,3,Monovalent
proccar,1,3,Monovalent
puruṣāy,1,3,Monovalent
puṣp,1,3,Monovalent
rathary,1,3,Monovalent
rājāy,1,3,Monovalent
samadhyās,1,3,Monovalent
samucchal,1,3,Monovalent
saniṣyad,1,3,Monovalent
stabhūy,1,3,Monovalent
sumnāy,1,3,Monovalent
svapnāy,1,3,Monovalent
sviṣṭakṛ,1,3,Monovalent
tvaṅg,1,3,Monovalent
udbhā,1,3,Monovalent
udgal,1,3,Monovalent
udghaṭṭay,1,3,Monovalent
upapragrah,1,3,Monovalent
uperts,1,3,Monovalent
utpā,1,3,Monovalent
vevīy,1,3,Monovalent
vikṣālay,1,3,Monovalent
vilok,1,3,Monovalent
vinirbharts,1,3,Monovalent
viniṣkṛṣ,1,3,Monovalent
viniṣpad,1,3,Monovalent
visaṃhan,1,3,Monovalent
vyāyātay,1,3,Monovalent
vīps,1,3,Monovalent
ślathay,1,3,Monovalent
śundhay,1,3,Monovalent
ṣkuṣ,1,3,Monovalent
ṣplāvay,1,3,Monovalent
ṣpṛ,1,3,Monovalent
abhiparyūh,1,2,Monovalent
abhipratye,1,2,Monovalent
abhipreray,1,2,Monovalent
abhiprārthay,1,2,Monovalent
abhiprāvṛ,1,2,Monovalent
abhisaṃgup,1,2,Monovalent
abhisaṃhan,1,2,Monovalent
abhisaṃnī,1,2,Monovalent
abhisaṃstambh,1,2,Monovalent
abhisaṃsthāpay,1,2,Monovalent
abhisaṃstu,1,2,Monovalent
abhisaṃtṛ,1,2,Monovalent
abhisaṃvye,1,2,Monovalent
abhisaṃvṛdh,1,2,Monovalent
abhivihan,1,2,Monovalent
abhivīkṣay,1,2,Monovalent
abhyadhiric,1,2,Monovalent
abhyam,1,2,Monovalent
abhyatirecay,1,2,Monovalent
abhyavanejay,1,2,Monovalent
abhyucchanday,1,2,Monovalent
abhyuddiś,1,2,Monovalent
abhyupasic,1,2,Monovalent
abhyutkrāmay,1,2,Monovalent
abhyākanikrad,1,2,Monovalent
adhikṛṣ,1,2,Monovalent
adhisaṃvas,1,2,Monovalent
adhvary,1,2,Monovalent
adhyavasāyay,1,2,Monovalent
agghay,1,2,Monovalent
alar,1,2,Monovalent
annīy,1,2,Monovalent
anuniveṣṭ,1,2,Monovalent
anuparikalpay,1,2,Monovalent
anuparimṛj,1,2,Monovalent
anuproh,1,2,Monovalent
anuprās,1,2,Monovalent
anusaṃdṛś,1,2,Monovalent
anusaṃkhyāpay,1,2,Monovalent
anusaṃsparśay,1,2,Monovalent
anusaṃvid,1,2,Monovalent
anusaṃvā,1,2,Monovalent
anuvardhay,1,2,Monovalent
anuvibhā,1,2,Monovalent
anūdan,1,2,Monovalent
anūdgā,1,2,Monovalent
anūdvā,1,2,Monovalent
anūpadas,1,2,Monovalent
apajval,1,2,Monovalent
apapre,1,2,Monovalent
aparībhū,1,2,Monovalent
apej,1,2,Monovalent
apodūh,1,2,Monovalent
apyarjay,1,2,Monovalent
apātī,1,2,Monovalent
atiji,1,2,Monovalent
atyarjay,1,2,Monovalent
atyākṛ,1,2,Monovalent
avoh,1,2,Monovalent
balīy,1,2,Monovalent
baṃh,1,2,Monovalent
baṃhay,1,2,Monovalent
bhairavāy,1,2,Monovalent
bhaṇḍay,1,2,Monovalent
bubhūrṣ,1,2,Monovalent
būm,1,2,Monovalent
bṛhay,1,2,Monovalent
can,1,2,Monovalent
carcar,1,2,Monovalent
cichits,1,2,Monovalent
cūṣay,1,2,Monovalent
dadhīy,1,2,Monovalent
dhvasay,1,2,Monovalent
dhīray,1,2,Monovalent
dhūrṇāpay,1,2,Monovalent
dodhav,1,2,Monovalent
dudrukṣ,1,2,Monovalent
duḥkh,1,2,Monovalent
duḥkhay,1,2,Monovalent
dvaṃdvībhū,1,2,Monovalent
dveṣay,1,2,Monovalent
heḍay,1,2,Monovalent
hikk,1,2,Monovalent
iṣaṇ,1,2,Monovalent
jijaniṣ,1,2,Monovalent
jīvāpay,1,2,Monovalent
kalahāy,1,2,Monovalent
kathāpay,1,2,Monovalent
khal,1,2,Monovalent
khaṇakhaṇāy,1,2,Monovalent
klībay,1,2,Monovalent
kratūy,1,2,Monovalent
kvaṇay,1,2,Monovalent
kāṭay,1,2,Monovalent
kṣemay,1,2,Monovalent
kṣāmay,1,2,Monovalent
lāgay,1,2,Monovalent
lāḍay,1,2,Monovalent
maitrāy,1,2,Monovalent
may,1,2,Monovalent
maṇṭ,1,2,Monovalent
mekṣay,1,2,Monovalent
momuh,1,2,Monovalent
mreḍ,1,2,Monovalent
mānuṣībhū,1,2,Monovalent
māṃsīy,1,2,Monovalent
mūrchāpay,1,2,Monovalent
mṛch,1,2,Monovalent
mṛkṣay,1,2,Monovalent
mṛt,1,2,Monovalent
nagarāy,1,2,Monovalent
narmay,1,2,Monovalent
nikṛ,1,2,Monovalent
nimeṣay,1,2,Monovalent
nirjigamiṣ,1,2,Monovalent
niṣku,1,2,Monovalent
niṣvar,1,2,Monovalent
nyuṣ,1,2,Monovalent
nyūṅkh,1,2,Monovalent
nyṛj,1,2,Monovalent
nīlāy,1,2,Monovalent
panāy,1,2,Monovalent
pariprāp,1,2,Monovalent
parisaṃsthā,1,2,Monovalent
parisaṃstu,1,2,Monovalent
pattīy,1,2,Monovalent
patīy,1,2,Monovalent
phenāy,1,2,Monovalent
plavāy,1,2,Monovalent
prasaṃdhā,1,2,Monovalent
pratigranth,1,2,Monovalent
pratinirdiś,1,2,Monovalent
pratisaṃhan,1,2,Monovalent
pratisaṃrudh,1,2,Monovalent
pratisaṃviś,1,2,Monovalent
pratyabhiṣic,1,2,Monovalent
pratyudvāday,1,2,Monovalent
pratīpay,1,2,Monovalent
procchri,1,2,Monovalent
prodyam,1,2,Monovalent
pronnam,1,2,Monovalent
protkaṇṭhay,1,2,Monovalent
protkṣip,1,2,Monovalent
proḍḍī,1,2,Monovalent
pupukṣ,1,2,Monovalent
pīḍ,1,2,Monovalent
rajay,1,2,Monovalent
rephāy,1,2,Monovalent
rips,1,2,Monovalent
rāhay,1,2,Monovalent
sabhāgay,1,2,Monovalent
samabhipre,1,2,Monovalent
samabhiprekṣ,1,2,Monovalent
samabhisaṃdhā,1,2,Monovalent
samabhivyañj,1,2,Monovalent
samer,1,2,Monovalent
sampratīṣ,1,2,Monovalent
samucchvi,1,2,Monovalent
samudgā,1,2,Monovalent
samullāsay,1,2,Monovalent
samunmā,1,2,Monovalent
samunnamay,1,2,Monovalent
samutkvāthay,1,2,Monovalent
samutsāhay,1,2,Monovalent
samāśleṣay,1,2,Monovalent
saniṣṇ,1,2,Monovalent
saṃkṣṇu,1,2,Monovalent
saṃniṣpāday,1,2,Monovalent
saṃpradhāv,1,2,Monovalent
saṃprasarpay,1,2,Monovalent
saṃprendh,1,2,Monovalent
saṃprāh,1,2,Monovalent
saṃrej,1,2,Monovalent
sisīrṣ,1,2,Monovalent
sthirāy,1,2,Monovalent
sumnay,1,2,Monovalent
svaray,1,2,Monovalent
tanūkṛ,1,2,Monovalent
timay,1,2,Monovalent
tiray,1,2,Monovalent
titarpay,1,2,Monovalent
tujay,1,2,Monovalent
tāv,1,2,Monovalent
ucchocay,1,2,Monovalent
udvadh,1,2,Monovalent
udvṛṣ,1,2,Monovalent
udṛṣ,1,2,Monovalent
ullāghay,1,2,Monovalent
ullālay,1,2,Monovalent
unmahay,1,2,Monovalent
unmeṣay,1,2,Monovalent
unnāday,1,2,Monovalent
upadhā,1,2,Monovalent
upanikṣ,1,2,Monovalent
upapalyāy,1,2,Monovalent
upaplāy,1,2,Monovalent
upasaṃprach,1,2,Monovalent
upasaṃyuj,1,2,Monovalent
upodi,1,2,Monovalent
utpradā,1,2,Monovalent
uñchay,1,2,Monovalent
vacasy,1,2,Monovalent
valgay,1,2,Monovalent
valgūy,1,2,Monovalent
vastray,1,2,Monovalent
veveṣṭ,1,2,Monovalent
vidhuray,1,2,Monovalent
vinirbhā,1,2,Monovalent
vinirlikh,1,2,Monovalent
vinirṇī,1,2,Monovalent
viniṣpīḍay,1,2,Monovalent
viprachid,1,2,Monovalent
visaṃmuh,1,2,Monovalent
visaṃvāday,1,2,Monovalent
viṣāy,1,2,Monovalent
vlag,1,2,Monovalent
vrīḍay,1,2,Monovalent
vyavabhid,1,2,Monovalent
vyavaśad,1,2,Monovalent
vyavās,1,2,Monovalent
vyādhīy,1,2,Monovalent
vīkṣay,1,2,Monovalent
vīṅg,1,2,Monovalent
yeṣ,1,2,Monovalent
śakalay,1,2,Monovalent
śapathīy,1,2,Monovalent
śaraṇīkṛ,1,2,Monovalent
ślath,1,2,Monovalent
ślokay,1,2,Monovalent
śuj,1,2,Monovalent
śāśvas,1,2,Monovalent
śītay,1,2,Monovalent
śṛṅgār,1,2,Monovalent
ūṣmāy,1,2,Monovalent
ṇu,1,2,Monovalent
ṛtay,1,2,Monovalent
ṣkhan,1,2,Monovalent
ṣkūj,1,2,Monovalent
ṣpātay,1,2,Monovalent
ṣpāyay,1,2,Monovalent
ṣpṛc,1,2,Monovalent
ṣvap,1,2,Monovalent
abhavastṛ,1,1,Monovalent
abhici,1,1,Monovalent
abhicāray,1,1,Monovalent
abhidāhay,1,1,Monovalent
abhihas,1,1,Monovalent
abhimukhay,1,1,Monovalent
abhimīl,1,1,Monovalent
abhinidarśay,1,1,Monovalent
abhinigrah,1,1,Monovalent
abhinirbharts,1,1,Monovalent
abhinirvad,1,1,Monovalent
abhinirṇud,1,1,Monovalent
abhiniṣkrāmay,1,1,Monovalent
abhiniṣkṛ,1,1,Monovalent
