root,valency,tokens,tier
ṛṣ,10,156,Bivalent
liṅgay,10,154,Bivalent
laṣ,10,149,Bivalent
paryupās,10,149,Bivalent
adhyāpay,10,130,Bivalent
ṣah,10,120,Bivalent
rch,10,102,Bivalent
vivakṣ,10,94,Bivalent
glā,10,92,Bivalent
mudray,10,91,Bivalent
prīṇay,10,89,Bivalent
sādh,10,86,Bivalent
upasaṃhṛ,10,83,Bivalent
hvṛ,10,74,Bivalent
yamay,10,70,Bivalent
ri,10,69,Bivalent
katth,10,68,Bivalent
śabday,10,63,Bivalent
kan,10,62,Bivalent
ucchid,10,59,Bivalent
dhanv,10,56,Bivalent
ras,10,53,Bivalent
ḍhālay,10,50,Bivalent
gharṣay,10,49,Bivalent
asūy,10,43,Bivalent
lambhay,10,43,Bivalent
poṣay,10,38,Bivalent
skanday,10,37,Bivalent
lekhay,10,35,Bivalent
vecay,10,35,Bivalent
tyājay,10,30,Bivalent
dagh,10,25,Bivalent
sāyay,10,24,Bivalent
trap,10,23,Bivalent
tṛh,10,21,Bivalent
j,10,19,Bivalent
krīḍay,10,19,Bivalent
śas,10,19,Bivalent
atī,9,856,Bivalent
preṣay,9,476,Bivalent
prokṣ,9,461,Bivalent
puṭ,9,448,Bivalent
ści,9,410,Bivalent
mil,9,358,Bivalent
preṣ,9,304,Bivalent
śrapay,9,290,Bivalent
anvi,9,258,Bivalent
ujji,9,238,Bivalent
abhī,9,228,Bivalent
vyapoh,9,202,Bivalent
śikṣay,9,177,Bivalent
dīkṣay,9,162,Bivalent
prāṇ,9,156,Bivalent
māday,9,153,Bivalent
devay,9,136,Bivalent
adhyās,9,131,Bivalent
ave,9,130,Bivalent
udīkṣ,9,112,Bivalent
bubhūṣ,9,108,Bivalent
jyā,9,93,Bivalent
jugups,9,82,Bivalent
kṣud,9,80,Bivalent
pavay,9,77,Bivalent
dhyai,9,73,Bivalent
īps,9,72,Bivalent
rakṣay,9,69,Bivalent
ṣkrī,9,67,Bivalent
sapary,9,66,Bivalent
tulay,9,62,Bivalent
cheday,9,56,Bivalent
ujh,9,56,Bivalent
vrājay,9,52,Bivalent
snehay,9,51,Bivalent
anvavekṣ,9,50,Bivalent
nenij,9,48,Bivalent
pratyavekṣ,9,48,Bivalent
anvās,9,47,Bivalent
titikṣ,9,47,Bivalent
tvaray,9,43,Bivalent
khānay,9,42,Bivalent
rad,9,39,Bivalent
nāhay,9,38,Bivalent
sphūrj,9,38,Bivalent
cud,9,37,Bivalent
ṣṭan,9,33,Bivalent
am,9,28,Bivalent
pāṭhay,9,27,Bivalent
sabhājay,9,27,Bivalent
samucchid,9,26,Bivalent
svan,9,26,Bivalent
jvar,9,23,Bivalent
s,9,23,Bivalent
ṇāśay,9,18,Bivalent
vīj,9,16,Bivalent
kśā,9,14,Bivalent
ścotay,9,14,Bivalent
marśay,9,13,Bivalent
kartay,9,12,Bivalent
uddiś,8,557,Bivalent
samuddhṛ,8,447,Bivalent
lubh,8,335,Bivalent
vaś,8,302,Bivalent
dāś,8,290,Bivalent
jinv,8,289,Bivalent
vedhay,8,261,Bivalent
uddhan,8,253,Bivalent
apekṣ,8,238,Bivalent
pare,8,201,Bivalent
daṇḍay,8,176,Bivalent
udgam,8,172,Bivalent
abhisaṃbudh,8,148,Bivalent
las,8,147,Bivalent
udīr,8,142,Bivalent
ucchiṣ,8,140,Bivalent
k￞,8,133,Bivalent
paryavāp,8,131,Bivalent
śuśrūṣ,8,110,Bivalent
pratyudyā,8,105,Bivalent
sphāray,8,105,Bivalent
saṃnyas,8,102,Bivalent
kuñcay,8,100,Bivalent
tirodhā,8,96,Bivalent
vājay,8,96,Bivalent
abhivīkṣ,8,90,Bivalent
samavāp,8,89,Bivalent
piṇḍay,8,83,Bivalent
āvirbhū,8,80,Bivalent
upārjay,8,79,Bivalent
vratay,8,79,Bivalent
bhaṇ,8,73,Bivalent
bhiṣajy,8,70,Bivalent
paryaṭ,8,64,Bivalent
mīmāṃs,8,62,Bivalent
kuṭṭay,8,60,Bivalent
apān,8,59,Bivalent
ṣkāsay,8,58,Bivalent
lakṣ,8,52,Bivalent
rāgay,8,51,Bivalent
jaray,8,49,Bivalent
randhay,8,45,Bivalent
anvave,8,43,Bivalent
abhyuddhṛ,8,42,Bivalent
bhraṃśay,8,42,Bivalent
carcay,8,41,Bivalent
nij,8,41,Bivalent
svaj,8,40,Bivalent
unmūlay,8,40,Bivalent
ḍambay,8,40,Bivalent
añc,8,38,Bivalent
snapay,8,38,Bivalent
tañc,8,36,Bivalent
śāyay,8,36,Bivalent
yāvay,8,33,Bivalent
heṣ,8,30,Bivalent
jaṅghan,8,30,Bivalent
ṣyand,8,30,Bivalent
hiṇḍ,8,29,Bivalent
anusaṃdhā,8,28,Bivalent
bhāṣay,8,27,Bivalent
cūṣ,8,26,Bivalent
dardar,8,23,Bivalent
hve,8,23,Bivalent
mṛdh,8,23,Bivalent
snu,8,23,Bivalent
ven,8,22,Bivalent
ubj,8,21,Bivalent
jvalay,8,20,Bivalent
kaṣ,8,18,Bivalent
pratisaṃdhā,8,17,Bivalent
titīrṣ,8,17,Bivalent
dī,8,16,Bivalent
hiṃsay,8,15,Bivalent
taṃsay,8,12,Bivalent
sañjay,8,11,Bivalent
hāsay,8,10,Bivalent
manthay,8,10,Bivalent
lok,8,8,Bivalent
same,7,641,Bivalent
dam,7,342,Bivalent
udīray,7,301,Bivalent
abhye,7,292,Bivalent
ape,7,272,Bivalent
vidh,7,209,Bivalent
udvāsay,7,188,Bivalent
paryāp,7,184,Bivalent
apī,7,178,Bivalent
namasy,7,161,Bivalent
carv,7,160,Bivalent
daṃśay,7,145,Bivalent
apās,7,144,Bivalent
snih,7,141,Bivalent
lajj,7,126,Bivalent
apoh,7,124,Bivalent
locay,7,121,Bivalent
jakṣ,7,118,Bivalent
melay,7,113,Bivalent
ṣpat,7,108,Bivalent
p￞,7,99,Bivalent
kas,7,95,Bivalent
bhṛjj,7,94,Bivalent
paryas,7,92,Bivalent
kam,7,84,Bivalent
ude,7,83,Bivalent
ñj,7,83,Bivalent
abhyave,7,82,Bivalent
kutsay,7,78,Bivalent
unmṛj,7,75,Bivalent
abhisaṃdhā,7,74,Bivalent
ghas,7,73,Bivalent
vivās,7,73,Bivalent
johav,7,72,Bivalent
lehay,7,69,Bivalent
guṇṭhay,7,68,Bivalent
unmuc,7,65,Bivalent
ṣā,7,64,Bivalent
nakṣ,7,62,Bivalent
svaday,7,60,Bivalent
upāp,7,55,Bivalent
ṣpāday,7,52,Bivalent
saṃpreṣay,7,50,Bivalent
yas,7,48,Bivalent
anusaṃcar,7,47,Bivalent
parīṣ,7,46,Bivalent
radh,7,45,Bivalent
ṣkṛṣ,7,42,Bivalent
unmajj,7,41,Bivalent
chanday,7,40,Bivalent
ṣedhay,7,40,Bivalent
kaṇḍūy,7,37,Bivalent
roṣay,7,36,Bivalent
udvartay,7,35,Bivalent
tambh,7,34,Bivalent
dhi,7,33,Bivalent
īṣ,7,33,Bivalent
mṛṇ,7,30,Bivalent
drā,7,29,Bivalent
svāpay,7,29,Bivalent
gaveṣay,7,23,Bivalent
parinirvāpay,7,23,Bivalent
