root,valency,tokens,first_consonant,vowel,articulation_place,varga_column,bonding_cluster
arth,2,3,—,a,vowel-initial,non-varga (vowel-initial),
atikṛ,2,3,—,a,vowel-initial,non-varga (vowel-initial),
atikṣāray,2,3,—,a,vowel-initial,non-varga (vowel-initial),
avakarṇay,2,3,—,a,vowel-initial,non-varga (vowel-initial),
avarohay,2,3,—,a,vowel-initial,non-varga (vowel-initial),
aśiśiṣ,2,3,—,a,vowel-initial,non-varga (vowel-initial),
bharv,2,3,bh,a,pavarga,C4 (voiced aspirate),
chup,2,3,ch,u,cavarga,C2 (unvoiced aspirate),
cicīṣ,2,3,c,i,cavarga,C1 (unvoiced unaspirate),
ciray,2,3,c,i,cavarga,C1 (unvoiced unaspirate),
coṣkūy,2,3,c,o,cavarga,C1 (unvoiced unaspirate),
cumbay,2,3,c,u,cavarga,C1 (unvoiced unaspirate),
dasyusādbhū,2,3,d,a,tavarga,C3 (voiced unaspirate),
dhūmay,2,3,dh,ū,tavarga,C4 (voiced aspirate),
dudukṣ,2,3,d,u,tavarga,C3 (voiced unaspirate),
ghar,2,3,gh,a,kavarga,C4 (voiced aspirate),
ghūrṇay,2,3,gh,ū,kavarga,C4 (voiced aspirate),
golay,2,3,g,o,kavarga,C3 (voiced unaspirate),
hvānay,2,3,h,ā,glottal,non-varga (glottal),
hās,2,3,h,ā,glottal,non-varga (glottal),
jaṅgah,2,3,j,a,cavarga,C3 (voiced unaspirate),
joguv,2,3,j,o,cavarga,C3 (voiced unaspirate),
jāsay,2,3,j,ā,cavarga,C3 (voiced unaspirate),
kandalay,2,3,k,a,kavarga,C1 (unvoiced unaspirate),
kaṇ,2,3,k,a,kavarga,C1 (unvoiced unaspirate),
kaṭakaṭāyay,2,3,k,a,kavarga,C1 (unvoiced unaspirate),
kothay,2,3,k,o,kavarga,C1 (unvoiced unaspirate),
krīḍāpay,2,3,k,ī,kavarga,C1 (unvoiced unaspirate),
makhasy,2,3,m,a,pavarga,C5 (nasal),
maṃhay,2,3,m,a,pavarga,C5 (nasal),
memy,2,3,m,e,pavarga,C5 (nasal),
mūlay,2,3,m,ū,pavarga,C5 (nasal),
naday,2,3,n,a,tavarga,C5 (nasal),
nibhālay,2,3,n,i,tavarga,C5 (nasal),
nonud,2,3,n,o,tavarga,C5 (nasal),
nyund,2,3,n,u,tavarga,C5 (nasal),
nīrājay,2,3,n,ī,tavarga,C5 (nasal),
pariniṣpad,2,3,p,a,pavarga,C1 (unvoiced unaspirate),
parinyas,2,3,p,a,pavarga,C1 (unvoiced unaspirate),
parisaṃcakṣ,2,3,p,a,pavarga,C1 (unvoiced unaspirate),
paryanviṣ,2,3,p,a,pavarga,C1 (unvoiced unaspirate),
paṇāy,2,3,p,a,pavarga,C1 (unvoiced unaspirate),
pepīy,2,3,p,e,pavarga,C1 (unvoiced unaspirate),
phāṇay,2,3,ph,ā,pavarga,C2 (unvoiced aspirate),
pramāṇay,2,3,p,a,pavarga,C1 (unvoiced unaspirate),
pratiniryā,2,3,p,a,pavarga,C1 (unvoiced unaspirate),
pratisaṃyat,2,3,p,a,pavarga,C1 (unvoiced unaspirate),
pratyujjīv,2,3,p,a,pavarga,C1 (unvoiced unaspirate),
pratyādhāv,2,3,p,a,pavarga,C1 (unvoiced unaspirate),
pronmīlay,2,3,p,o,pavarga,C1 (unvoiced unaspirate),
rip,2,3,r,i,semivowel,non-varga (semivowel),
samanvīkṣ,2,3,s,a,sibilant,non-varga (sibilant),
samudyā,2,3,s,a,sibilant,non-varga (sibilant),
samunmath,2,3,s,a,sibilant,non-varga (sibilant),
saraṇy,2,3,s,a,sibilant,non-varga (sibilant),
sarj,2,3,s,a,sibilant,non-varga (sibilant),
saṃnirvap,2,3,s,a,sibilant,non-varga (sibilant),
saṃprāśay,2,3,s,a,sibilant,non-varga (sibilant),
spāray,2,3,s,ā,sibilant,non-varga (sibilant),
stigh,2,3,s,i,sibilant,non-varga (sibilant),
svādhyāy,2,3,s,ā,sibilant,non-varga (sibilant),
tand,2,3,t,a,tavarga,C1 (unvoiced unaspirate),
turay,2,3,t,u,tavarga,C1 (unvoiced unaspirate),
uccheday,2,3,—,u,vowel-initial,non-varga (vowel-initial),
udbādh,2,3,—,u,vowel-initial,non-varga (vowel-initial),
uddhvaṃsay,2,3,—,u,vowel-initial,non-varga (vowel-initial),
uddih,2,3,—,u,vowel-initial,non-varga (vowel-initial),
udghṛṣ,2,3,—,u,vowel-initial,non-varga (vowel-initial),
ujjvalay,2,3,—,u,vowel-initial,non-varga (vowel-initial),
ullambay,2,3,—,u,vowel-initial,non-varga (vowel-initial),
unmajjay,2,3,—,u,vowel-initial,non-varga (vowel-initial),
unmārjay,2,3,—,u,vowel-initial,non-varga (vowel-initial),
upamīmāṃs,2,3,—,u,vowel-initial,non-varga (vowel-initial),
upaniṣkramay,2,3,—,u,vowel-initial,non-varga (vowel-initial),
upasaṃveśay,2,3,—,u,vowel-initial,non-varga (vowel-initial),
upasaṃviś,2,3,—,u,vowel-initial,non-varga (vowel-initial),
upasaṃśaṃs,2,3,—,u,vowel-initial,non-varga (vowel-initial),
utsukay,2,3,—,u,vowel-initial,non-varga (vowel-initial),
valh,2,3,v,a,semivowel,non-varga (semivowel),
vasūy,2,3,v,a,semivowel,non-varga (semivowel),
vevij,2,3,v,e,semivowel,non-varga (semivowel),
viparyūh,2,3,v,i,semivowel,non-varga (semivowel),
vividiṣ,2,3,v,i,semivowel,non-varga (semivowel),
viśaday,2,3,v,i,semivowel,non-varga (semivowel),
vānay,2,3,v,ā,semivowel,non-varga (semivowel),
vāvāś,2,3,v,ā,semivowel,non-varga (semivowel),
yuyūṣ,2,3,y,u,semivowel,non-varga (semivowel),
śardhay,2,3,ś,a,sibilant,non-varga (sibilant),
śiśayiṣ,2,3,ś,i,sibilant,non-varga (sibilant),
śyānay,2,3,ś,ā,sibilant,non-varga (sibilant),
ṇāyay,2,3,ṇ,ā,ṭavarga,C5 (nasal),
abhinirmi,2,2,—,a,vowel-initial,non-varga (vowel-initial),
abhinirīkṣ,2,2,—,a,vowel-initial,non-varga (vowel-initial),
abhinyas,2,2,—,a,vowel-initial,non-varga (vowel-initial),
abhipratī,2,2,—,a,vowel-initial,non-varga (vowel-initial),
abhipreṣ,2,2,—,a,vowel-initial,non-varga (vowel-initial),
abhisaṃcar,2,2,—,a,vowel-initial,non-varga (vowel-initial),
abhisaṃmīl,2,2,—,a,vowel-initial,non-varga (vowel-initial),
abhisaṃnah,2,2,—,a,vowel-initial,non-varga (vowel-initial),
abhisaṃyam,2,2,—,a,vowel-initial,non-varga (vowel-initial),
abhisaṃśliṣ,2,2,—,a,vowel-initial,non-varga (vowel-initial),
abhivyañjay,2,2,—,a,vowel-initial,non-varga (vowel-initial),
abhyatyūh,2,2,—,a,vowel-initial,non-varga (vowel-initial),
abhyudīray,2,2,—,a,vowel-initial,non-varga (vowel-initial),
abhyujjīv,2,2,—,a,vowel-initial,non-varga (vowel-initial),
abhīkṣ,2,2,—,a,vowel-initial,non-varga (vowel-initial),
adhisaṃdhā,2,2,—,a,vowel-initial,non-varga (vowel-initial),
adhyāsay,2,2,—,a,vowel-initial,non-varga (vowel-initial),
ahaṃkṛ,2,2,—,a,vowel-initial,non-varga (vowel-initial),
anuparilikh,2,2,—,a,vowel-initial,non-varga (vowel-initial),
anuparind,2,2,—,a,vowel-initial,non-varga (vowel-initial),
anupariplu,2,2,—,a,vowel-initial,non-varga (vowel-initial),
anusaṃnud,2,2,—,a,vowel-initial,non-varga (vowel-initial),
anusaṃtṛ,2,2,—,a,vowel-initial,non-varga (vowel-initial),
anusaṃvarṇay,2,2,—,a,vowel-initial,non-varga (vowel-initial),
anusaṃvye,2,2,—,a,vowel-initial,non-varga (vowel-initial),
anuvyave,2,2,—,a,vowel-initial,non-varga (vowel-initial),
anvaś,2,2,—,a,vowel-initial,non-varga (vowel-initial),
anūpaviś,2,2,—,a,vowel-initial,non-varga (vowel-initial),
apuvāy,2,2,—,a,vowel-initial,non-varga (vowel-initial),
balay,2,2,b,a,pavarga,C3 (voiced unaspirate),
bhāray,2,2,bh,ā,pavarga,C4 (voiced aspirate),
bhārāy,2,2,bh,ā,pavarga,C4 (voiced aspirate),
bhāyay,2,2,bh,ā,pavarga,C4 (voiced aspirate),
canasy,2,2,c,a,cavarga,C1 (unvoiced unaspirate),
caniṣkad,2,2,c,a,cavarga,C1 (unvoiced unaspirate),
churay,2,2,ch,u,cavarga,C2 (unvoiced aspirate),
cikrīḍ,2,2,c,i,cavarga,C1 (unvoiced unaspirate),
cikrīṣ,2,2,c,i,cavarga,C1 (unvoiced unaspirate),
cyavay,2,2,c,a,cavarga,C1 (unvoiced unaspirate),
cyotay,2,2,c,o,cavarga,C1 (unvoiced unaspirate),
dad,2,2,d,a,tavarga,C3 (voiced unaspirate),
dasay,2,2,d,a,tavarga,C3 (voiced unaspirate),
daṃsay,2,2,d,a,tavarga,C3 (voiced unaspirate),
dhardhṛ,2,2,dh,a,tavarga,C4 (voiced aspirate),
dharmay,2,2,dh,a,tavarga,C4 (voiced aspirate),
dhiyāy,2,2,dh,i,tavarga,C4 (voiced aspirate),
dhunay,2,2,dh,u,tavarga,C4 (voiced aspirate),
dhyāpay,2,2,dh,ā,tavarga,C4 (voiced aspirate),
dhūsarīkṛ,2,2,dh,ū,tavarga,C4 (voiced aspirate),
didhīrṣ,2,2,d,i,tavarga,C3 (voiced unaspirate),
didīkṣiṣ,2,2,d,i,tavarga,C3 (voiced unaspirate),
div,2,2,d,i,tavarga,C3 (voiced unaspirate),
drumāy,2,2,d,u,tavarga,C3 (voiced unaspirate),
drāghay,2,2,d,ā,tavarga,C3 (voiced unaspirate),
durmanāy,2,2,d,u,tavarga,C3 (voiced unaspirate),
ejay,2,2,—,e,vowel-initial,non-varga (vowel-initial),
gadh,2,2,g,a,kavarga,C3 (voiced unaspirate),
grahay,2,2,g,a,kavarga,C3 (voiced unaspirate),
grathay,2,2,g,a,kavarga,C3 (voiced unaspirate),
haray,2,2,h,a,glottal,non-varga (glottal),
hreṣ,2,2,h,e,glottal,non-varga (glottal),
jaḍay,2,2,j,a,cavarga,C3 (voiced unaspirate),
jehrīy,2,2,j,e,cavarga,C3 (voiced unaspirate),
jṛmbhay,2,2,j,ṛ,cavarga,C3 (voiced unaspirate),
kac,2,2,k,a,kavarga,C1 (unvoiced unaspirate),
kadarth,2,2,k,a,kavarga,C1 (unvoiced unaspirate),
kaṭṭay,2,2,k,a,kavarga,C1 (unvoiced unaspirate),
khelay,2,2,kh,e,kavarga,C2 (unvoiced aspirate),
krāpay,2,2,k,ā,kavarga,C1 (unvoiced unaspirate),
kuts,2,2,k,u,kavarga,C1 (unvoiced unaspirate),
kārāpay,2,2,k,ā,kavarga,C1 (unvoiced unaspirate),
kūḍay,2,2,k,ū,kavarga,C1 (unvoiced unaspirate),
laghūy,2,2,l,a,semivowel,non-varga (semivowel),
luḍ,2,2,l,u,semivowel,non-varga (semivowel),
malay,2,2,m,a,pavarga,C5 (nasal),
mithunīsaṃbhū,2,2,m,i,pavarga,C5 (nasal),
mlech,2,2,m,e,pavarga,C5 (nasal),
moṣay,2,2,m,o,pavarga,C5 (nasal),
mrad,2,2,m,a,pavarga,C5 (nasal),
muñcay,2,2,m,u,pavarga,C5 (nasal),
mṛg,2,2,m,ṛ,pavarga,C5 (nasal),
nimrad,2,2,n,i,tavarga,C5 (nasal),
ninits,2,2,n,i,tavarga,C5 (nasal),
nirgṛ,2,2,n,i,tavarga,C5 (nasal),
niḥsvar,2,2,n,i,tavarga,C5 (nasal),
niṣpattray,2,2,n,i,tavarga,C5 (nasal),
nu,2,2,n,u,tavarga,C5 (nasal),
palpūlay,2,2,p,a,pavarga,C1 (unvoiced unaspirate),
parekṣ,2,2,p,a,pavarga,C1 (unvoiced unaspirate),
parisaṃstṛ,2,2,p,a,pavarga,C1 (unvoiced unaspirate),
paryupe,2,2,p,a,pavarga,C1 (unvoiced unaspirate),
parīndh,2,2,p,a,pavarga,C1 (unvoiced unaspirate),
paṅkay,2,2,p,a,pavarga,C1 (unvoiced unaspirate),
pibd,2,2,p,i,pavarga,C1 (unvoiced unaspirate),
praparīkṣ,2,2,p,a,pavarga,C1 (unvoiced unaspirate),
pratilomay,2,2,p,a,pavarga,C1 (unvoiced unaspirate),
pratisaṃhṛṣ,2,2,p,a,pavarga,C1 (unvoiced unaspirate),
pratisaṃkram,2,2,p,a,pavarga,C1 (unvoiced unaspirate),
pratyavarohay,2,2,p,a,pavarga,C1 (unvoiced unaspirate),
pratyuccāray,2,2,p,a,pavarga,C1 (unvoiced unaspirate),
pratyādhā,2,2,p,a,pavarga,C1 (unvoiced unaspirate),
praścotay,2,2,p,a,pavarga,C1 (unvoiced unaspirate),
praṇaś,2,2,p,a,pavarga,C1 (unvoiced unaspirate),
protkṛt,2,2,p,o,pavarga,C1 (unvoiced unaspirate),
prārjay,2,2,p,ā,pavarga,C1 (unvoiced unaspirate),
pāpac,2,2,p,ā,pavarga,C1 (unvoiced unaspirate),
pāpat,2,2,p,ā,pavarga,C1 (unvoiced unaspirate),
pūrṇay,2,2,p,ū,pavarga,C1 (unvoiced unaspirate),
rac,2,2,r,a,semivowel,non-varga (semivowel),
randhray,2,2,r,a,semivowel,non-varga (semivowel),
ririkṣ,2,2,r,i,semivowel,non-varga (semivowel),
rj,2,2,r,?,semivowel,non-varga (semivowel),
samavadhāray,2,2,s,a,sibilant,non-varga (sibilant),
samavaśamay,2,2,s,a,sibilant,non-varga (sibilant),
samunmuc,2,2,s,a,sibilant,non-varga (sibilant),
samārurukṣ,2,2,s,a,sibilant,non-varga (sibilant),
saphalay,2,2,s,a,sibilant,non-varga (sibilant),
saṃgrāmay,2,2,s,a,sibilant,non-varga (sibilant),
saṃniras,2,2,s,a,sibilant,non-varga (sibilant),
sisṛps,2,2,s,i,sibilant,non-varga (sibilant),
siñj,2,2,s,i,sibilant,non-varga (sibilant),
sphāy,2,2,s,ā,sibilant,non-varga (sibilant),
stobhay,2,2,s,o,sibilant,non-varga (sibilant),
stāvay,2,2,s,ā,sibilant,non-varga (sibilant),
svanay,2,2,s,a,sibilant,non-varga (sibilant),
taraṅgāy,2,2,t,a,tavarga,C1 (unvoiced unaspirate),
taruṣ,2,2,t,a,tavarga,C1 (unvoiced unaspirate),
taviṣīy,2,2,t,a,tavarga,C1 (unvoiced unaspirate),
timiray,2,2,t,i,tavarga,C1 (unvoiced unaspirate),
titṛd,2,2,t,i,tavarga,C1 (unvoiced unaspirate),
tośay,2,2,t,o,tavarga,C1 (unvoiced unaspirate),
tālay,2,2,t,ā,tavarga,C1 (unvoiced unaspirate),
ucchuṣ,2,2,—,u,vowel-initial,non-varga (vowel-initial),
ucchāday,2,2,—,u,vowel-initial,non-varga (vowel-initial),
udbrū,2,2,—,u,vowel-initial,non-varga (vowel-initial),
udukṣ,2,2,—,u,vowel-initial,non-varga (vowel-initial),
udyudh,2,2,—,u,vowel-initial,non-varga (vowel-initial),
ullap,2,2,—,u,vowel-initial,non-varga (vowel-initial),
upaprastu,2,2,—,u,vowel-initial,non-varga (vowel-initial),
upasaṃrudh,2,2,—,u,vowel-initial,non-varga (vowel-initial),
upeṣ,2,2,—,u,vowel-initial,non-varga (vowel-initial),
upārch,2,2,—,u,vowel-initial,non-varga (vowel-initial),
vapuṣy,2,2,v,a,semivowel,non-varga (semivowel),
vardhāpay,2,2,v,a,semivowel,non-varga (semivowel),
varīvṛj,2,2,v,a,semivowel,non-varga (semivowel),
vimukhay,2,2,v,i,semivowel,non-varga (semivowel),
vinirbhuj,2,2,v,i,semivowel,non-varga (semivowel),
vinirmathay,2,2,v,i,semivowel,non-varga (semivowel),
vipariśṛ,2,2,v,i,semivowel,non-varga (semivowel),
vivṛts,2,2,v,i,semivowel,non-varga (semivowel),
vyapohay,2,2,v,a,semivowel,non-varga (semivowel),
vyavokṣ,2,2,v,a,semivowel,non-varga (semivowel),
vyupaparīkṣ,2,2,v,u,semivowel,non-varga (semivowel),
vīrts,2,2,v,ī,semivowel,non-varga (semivowel),
yoktray,2,2,y,o,semivowel,non-varga (semivowel),
āmīv,2,2,—,ā,vowel-initial,non-varga (vowel-initial),
ārtīy,2,2,—,ā,vowel-initial,non-varga (vowel-initial),
śabalay,2,2,ś,a,sibilant,non-varga (sibilant),
śalyay,2,2,ś,a,sibilant,non-varga (sibilant),
śikṣāpay,2,2,ś,i,sibilant,non-varga (sibilant),
ślāghay,2,2,ś,ā,sibilant,non-varga (sibilant),
śośubh,2,2,ś,o,sibilant,non-varga (sibilant),
śrāṇay,2,2,ś,ā,sibilant,non-varga (sibilant),
śṛṅkhalay,2,2,ś,ṛ,sibilant,non-varga (sibilant),
ś￞,2,2,ś,?,sibilant,non-varga (sibilant),
ṣañjay,2,2,ṣ,a,sibilant,non-varga (sibilant),
prāh,1,1220,p,ā,pavarga,C1 (unvoiced unaspirate),
anvah,1,337,—,a,vowel-initial,non-varga (vowel-initial),
īpsay,1,280,—,ī,vowel-initial,non-varga (vowel-initial),
antargam,1,143,—,a,vowel-initial,non-varga (vowel-initial),
parinirvṛ,1,102,p,a,pavarga,C1 (unvoiced unaspirate),
pratyutpad,1,75,p,a,pavarga,C1 (unvoiced unaspirate),
puṭay,1,62,p,u,pavarga,C1 (unvoiced unaspirate),
cak,1,48,c,a,cavarga,C1 (unvoiced unaspirate),
homay,1,48,h,o,glottal,non-varga (glottal),
pratisaṃyuj,1,46,p,a,pavarga,C1 (unvoiced unaspirate),
nādh,1,28,n,ā,tavarga,C5 (nasal),
sumanasy,1,27,s,u,sibilant,non-varga (sibilant),
anūpasthā,1,25,—,a,vowel-initial,non-varga (vowel-initial),
vyākhyānay,1,23,v,ā,semivowel,non-varga (semivowel),
śuśubh,1,20,ś,u,sibilant,non-varga (sibilant),
khac,1,18,kh,a,kavarga,C2 (unvoiced aspirate),
prendh,1,18,p,e,pavarga,C1 (unvoiced unaspirate),
abhisamprekṣ,1,16,—,a,vowel-initial,non-varga (vowel-initial),
hṛṇīy,1,16,h,ṛ,glottal,non-varga (glottal),
abhisaṃkrudh,1,14,—,a,vowel-initial,non-varga (vowel-initial),
abhisaṃkṣip,1,13,—,a,vowel-initial,non-varga (vowel-initial),
unnabhay,1,13,—,u,vowel-initial,non-varga (vowel-initial),
er,1,12,—,e,vowel-initial,non-varga (vowel-initial),
mukulay,1,12,m,u,pavarga,C5 (nasal),
viday,1,12,v,i,semivowel,non-varga (semivowel),
dhūpāy,1,11,dh,ū,tavarga,C4 (voiced aspirate),
samupāś,1,11,s,a,sibilant,non-varga (sibilant),
udbudh,1,11,—,u,vowel-initial,non-varga (vowel-initial),
upodyam,1,11,—,u,vowel-initial,non-varga (vowel-initial),
parinirmā,1,10,p,a,pavarga,C1 (unvoiced unaspirate),
sīmantay,1,10,s,ī,sibilant,non-varga (sibilant),
unmaday,1,10,—,u,vowel-initial,non-varga (vowel-initial),
īrts,1,10,—,ī,vowel-initial,non-varga (vowel-initial),
ṣiñcay,1,10,ṣ,i,sibilant,non-varga (sibilant),
parisaṃlih,1,9,p,a,pavarga,C1 (unvoiced unaspirate),
sakhīy,1,9,s,a,sibilant,non-varga (sibilant),
samprāś,1,9,s,a,sibilant,non-varga (sibilant),
samupārjay,1,9,s,a,sibilant,non-varga (sibilant),
taruṇāy,1,9,t,a,tavarga,C1 (unvoiced unaspirate),
vyadhay,1,9,v,a,semivowel,non-varga (semivowel),
vātāy,1,9,v,ā,semivowel,non-varga (semivowel),
āndolay,1,9,—,ā,vowel-initial,non-varga (vowel-initial),
devāy,1,8,d,e,tavarga,C3 (voiced unaspirate),
dudh,1,8,d,u,tavarga,C3 (voiced unaspirate),
samudvīkṣ,1,8,s,a,sibilant,non-varga (sibilant),
śyāmāy,1,8,ś,ā,sibilant,non-varga (sibilant),
anuparihṛ,1,7,—,a,vowel-initial,non-varga (vowel-initial),
atyāśay,1,7,—,a,vowel-initial,non-varga (vowel-initial),
bhasm,1,7,bh,a,pavarga,C4 (voiced aspirate),
gumph,1,7,g,u,kavarga,C3 (voiced unaspirate),
karuṇāy,1,7,k,a,kavarga,C1 (unvoiced unaspirate),
laḍ,1,7,l,a,semivowel,non-varga (semivowel),
panipn,1,7,p,a,pavarga,C1 (unvoiced unaspirate),
raṇv,1,7,r,a,semivowel,non-varga (semivowel),
tim,1,7,t,i,tavarga,C1 (unvoiced unaspirate),
āvirbubhūṣ,1,7,—,ā,vowel-initial,non-varga (vowel-initial),
śrathāy,1,7,ś,a,sibilant,non-varga (sibilant),
abhyunnam,1,6,—,a,vowel-initial,non-varga (vowel-initial),
anusaṃrabh,1,6,—,a,vowel-initial,non-varga (vowel-initial),
brahmaṇy,1,6,b,a,pavarga,C3 (voiced unaspirate),
janīy,1,6,j,a,cavarga,C3 (voiced unaspirate),
paryah,1,6,p,a,pavarga,C1 (unvoiced unaspirate),
pratiyāśru,1,6,p,a,pavarga,C1 (unvoiced unaspirate),
prodi,1,6,p,o,pavarga,C1 (unvoiced unaspirate),
rjay,1,6,r,a,semivowel,non-varga (semivowel),
samunmiṣ,1,6,s,a,sibilant,non-varga (sibilant),
samunnah,1,6,s,a,sibilant,non-varga (sibilant),
śvit,1,6,ś,i,sibilant,non-varga (sibilant),
ṣekay,1,6,ṣ,e,sibilant,non-varga (sibilant),
abhinirmuc,1,5,—,a,vowel-initial,non-varga (vowel-initial),
abhisaṃtyaj,1,5,—,a,vowel-initial,non-varga (vowel-initial),
amitray,1,5,—,a,vowel-initial,non-varga (vowel-initial),
anuvyūh,1,5,—,a,vowel-initial,non-varga (vowel-initial),
anūtsad,1,5,—,a,vowel-initial,non-varga (vowel-initial),
avayātay,1,5,—,a,vowel-initial,non-varga (vowel-initial),
garbhīkṛ,1,5,g,a,kavarga,C3 (voiced unaspirate),
iñj,1,5,—,i,vowel-initial,non-varga (vowel-initial),
khañj,1,5,kh,a,kavarga,C2 (unvoiced aspirate),
nire,1,5,n,i,tavarga,C5 (nasal),
paryāsic,1,5,p,a,pavarga,C1 (unvoiced unaspirate),
pinvay,1,5,p,i,pavarga,C1 (unvoiced unaspirate),
pratinirgrah,1,5,p,a,pavarga,C1 (unvoiced unaspirate),
samabhyañj,1,5,s,a,sibilant,non-varga (sibilant),
samabhyukṣ,1,5,s,a,sibilant,non-varga (sibilant),
samujjval,1,5,s,a,sibilant,non-varga (sibilant),
samullaṅghay,1,5,s,a,sibilant,non-varga (sibilant),
saṃnirīkṣ,1,5,s,a,sibilant,non-varga (sibilant),
visaṃyuj,1,5,v,i,semivowel,non-varga (semivowel),
yād,1,5,y,ā,semivowel,non-varga (semivowel),
āñch,1,5,—,ā,vowel-initial,non-varga (vowel-initial),
ṣkṝ,1,5,ṣ,ṝ,sibilant,non-varga (sibilant),
abhyalaṃkṛ,1,4,—,a,vowel-initial,non-varga (vowel-initial),
abhyākṛ,1,4,—,a,vowel-initial,non-varga (vowel-initial),
anupare,1,4,—,a,vowel-initial,non-varga (vowel-initial),
anusaṃcintay,1,4,—,a,vowel-initial,non-varga (vowel-initial),
anusaṃjvar,1,4,—,a,vowel-initial,non-varga (vowel-initial),
anūdas,1,4,—,a,vowel-initial,non-varga (vowel-initial),
ativācay,1,4,—,a,vowel-initial,non-varga (vowel-initial),
aviṣy,1,4,—,a,vowel-initial,non-varga (vowel-initial),
avyaktay,1,4,—,a,vowel-initial,non-varga (vowel-initial),
aṅg,1,4,—,a,vowel-initial,non-varga (vowel-initial),
caṭāy,1,4,c,a,cavarga,C1 (unvoiced unaspirate),
cup,1,4,c,u,cavarga,C1 (unvoiced unaspirate),
cācal,1,4,c,ā,cavarga,C1 (unvoiced unaspirate),
duchunāy,1,4,d,u,tavarga,C3 (voiced unaspirate),
ghuraghurāy,1,4,gh,u,kavarga,C4 (voiced aspirate),
gṛhṇāpay,1,4,g,ṛ,kavarga,C3 (voiced unaspirate),
kuṭṭ,1,4,k,u,kavarga,C1 (unvoiced unaspirate),
luṇṭhay,1,4,l,u,semivowel,non-varga (semivowel),
nyer,1,4,n,e,tavarga,C5 (nasal),
ojāy,1,4,—,o,vowel-initial,non-varga (vowel-initial),
panasy,1,4,p,a,pavarga,C1 (unvoiced unaspirate),
panīphaṇ,1,4,p,a,pavarga,C1 (unvoiced unaspirate),
pariprāpay,1,4,p,a,pavarga,C1 (unvoiced unaspirate),
pronmiṣ,1,4,p,o,pavarga,C1 (unvoiced unaspirate),
rdh,1,4,r,?,semivowel,non-varga (semivowel),
rirakṣ,1,4,r,i,semivowel,non-varga (semivowel),
rṣ,1,4,r,?,semivowel,non-varga (semivowel),
samullup,1,4,s,a,sibilant,non-varga (sibilant),
saṃdhay,1,4,s,a,sibilant,non-varga (sibilant),
saṃvlī,1,4,s,a,sibilant,non-varga (sibilant),
troṭay,1,4,t,o,tavarga,C1 (unvoiced unaspirate),
udañj,1,4,—,u,vowel-initial,non-varga (vowel-initial),
udbhāsay,1,4,—,u,vowel-initial,non-varga (vowel-initial),
udguh,1,4,—,u,vowel-initial,non-varga (vowel-initial),
ujjāpay,1,4,—,u,vowel-initial,non-varga (vowel-initial),
ullokay,1,4,—,u,vowel-initial,non-varga (vowel-initial),
unnaś,1,4,—,u,vowel-initial,non-varga (vowel-initial),
upasaṃbhṛ,1,4,—,u,vowel-initial,non-varga (vowel-initial),
śūlay,1,4,ś,ū,sibilant,non-varga (sibilant),
abhinirbhid,1,3,—,a,vowel-initial,non-varga (vowel-initial),
abhisaṃgṛ,1,3,—,a,vowel-initial,non-varga (vowel-initial),
abhivyan,1,3,—,a,vowel-initial,non-varga (vowel-initial),
abhivyukṣ,1,3,—,a,vowel-initial,non-varga (vowel-initial),
abhyunnamay,1,3,—,a,vowel-initial,non-varga (vowel-initial),
abhyutkṣip,1,3,—,a,vowel-initial,non-varga (vowel-initial),
abhyutsad,1,3,—,a,vowel-initial,non-varga (vowel-initial),
amṛtāy,1,3,—,a,vowel-initial,non-varga (vowel-initial),
anuhu,1,3,—,a,vowel-initial,non-varga (vowel-initial),
anuninard,1,3,—,a,vowel-initial,non-varga (vowel-initial),
anuparyukṣ,1,3,—,a,vowel-initial,non-varga (vowel-initial),
anusaṃsāray,1,3,—,a,vowel-initial,non-varga (vowel-initial),
anusaṃvrājay,1,3,—,a,vowel-initial,non-varga (vowel-initial),
anūddiś,1,3,—,a,vowel-initial,non-varga (vowel-initial),
anūtpad,1,3,—,a,vowel-initial,non-varga (vowel-initial),
caṭacaṭāy,1,3,c,a,cavarga,C1 (unvoiced unaspirate),
cikalpay,1,3,c,i,cavarga,C1 (unvoiced unaspirate),
drū,1,3,d,ū,tavarga,C3 (voiced unaspirate),
dādhṛ,1,3,d,ā,tavarga,C3 (voiced unaspirate),
jhaṇajhaṇāy,1,3,jh,a,cavarga,C4 (voiced aspirate),
karālay,1,3,k,a,kavarga,C1 (unvoiced unaspirate),
kavīy,1,3,k,a,kavarga,C1 (unvoiced unaspirate),
markaṭībhū,1,3,m,a,pavarga,C5 (nasal),
masṛṇay,1,3,m,a,pavarga,C5 (nasal),
mukulāy,1,3,m,u,pavarga,C5 (nasal),
narīnart,1,3,n,a,tavarga,C5 (nasal),
paribibādh,1,3,p,a,pavarga,C1 (unvoiced unaspirate),
parisaṃtap,1,3,p,a,pavarga,C1 (unvoiced unaspirate),
pattray,1,3,p,a,pavarga,C1 (unvoiced unaspirate),
pay,1,3,p,a,pavarga,C1 (unvoiced unaspirate),
pepiś,1,3,p,e,pavarga,C1 (unvoiced unaspirate),
pratiniṣkram,1,3,p,a,pavarga,C1 (unvoiced unaspirate),
pratyupalamb,1,3,p,a,pavarga,C1 (unvoiced unaspirate),
pratyāsāday,1,3,p,a,pavarga,C1 (unvoiced unaspirate),
