root,valency,tokens,first_consonant,vowel,articulation_place,varga_column,bonding_cluster
yāpay,20,155,y,ā,semivowel,non-varga (semivowel),
druh,20,114,d,u,tavarga,C3 (voiced unaspirate),
dyotay,20,99,d,o,tavarga,C3 (voiced unaspirate),
moday,20,99,m,o,pavarga,C5 (nasal),
śātay,20,73,ś,ā,sibilant,non-varga (sibilant),
īray,19,662,—,ī,vowel-initial,non-varga (vowel-initial),
gup,19,636,g,u,kavarga,C3 (voiced unaspirate),
ṣṭhāpay,19,582,ṣ,ā,sibilant,non-varga (sibilant),
gras,19,525,g,a,kavarga,C3 (voiced unaspirate),
puṣ,19,452,p,u,pavarga,C1 (unvoiced unaspirate),
ghāray,19,434,gh,ā,kavarga,C4 (voiced aspirate),
vyath,19,426,v,a,semivowel,non-varga (semivowel),
pyā,19,386,p,ā,pavarga,C1 (unvoiced unaspirate),
racay,19,340,r,a,semivowel,non-varga (semivowel),
riṣ,19,302,r,i,semivowel,non-varga (semivowel),
ṣṭu,19,201,ṣ,u,sibilant,non-varga (sibilant),
nard,19,150,n,a,tavarga,C5 (nasal),
ru,19,134,r,u,semivowel,non-varga (semivowel),
tam,19,123,t,a,tavarga,C1 (unvoiced unaspirate),
sphoṭay,19,91,s,o,sibilant,non-varga (sibilant),
ṣṭhīv,19,73,ṣ,ī,sibilant,non-varga (sibilant),
dīkṣ,18,879,d,ī,tavarga,C3 (voiced unaspirate),
tvar,18,577,t,a,tavarga,C1 (unvoiced unaspirate),
yājay,18,437,y,ā,semivowel,non-varga (semivowel),
ṇaś,18,331,ṇ,a,ṭavarga,C5 (nasal),
bhrāj,18,301,bh,ā,pavarga,C4 (voiced aspirate),
gal,18,292,g,a,kavarga,C3 (voiced unaspirate),
miśray,18,290,m,i,pavarga,C5 (nasal),
garj,18,223,g,a,kavarga,C3 (voiced unaspirate),
cikīrṣ,18,218,c,i,cavarga,C1 (unvoiced unaspirate),
trāsay,18,201,t,ā,tavarga,C1 (unvoiced unaspirate),
takṣ,18,175,t,a,tavarga,C1 (unvoiced unaspirate),
jṛmbh,18,171,j,ṛ,cavarga,C3 (voiced unaspirate),
stambhay,18,162,s,a,sibilant,non-varga (sibilant),
dhūpay,18,157,dh,ū,tavarga,C4 (voiced aspirate),
laṅghay,18,153,l,a,semivowel,non-varga (semivowel),
ghaṭ,18,134,gh,a,kavarga,C4 (voiced aspirate),
sūcay,18,132,s,ū,sibilant,non-varga (sibilant),
cikits,18,131,c,i,cavarga,C1 (unvoiced unaspirate),
mārg,18,110,m,ā,pavarga,C5 (nasal),
cāy,18,96,c,ā,cavarga,C1 (unvoiced unaspirate),
cṛt,18,69,c,ṛ,cavarga,C1 (unvoiced unaspirate),
ghaṭay,18,57,gh,a,kavarga,C4 (voiced aspirate),
juṣ,17,1236,j,u,cavarga,C3 (voiced unaspirate),
ad,17,703,—,a,vowel-initial,non-varga (vowel-initial),
śobhay,17,569,ś,o,sibilant,non-varga (sibilant),
bhojay,17,526,bh,o,pavarga,C4 (voiced aspirate),
kṣam,17,442,k,a,kavarga,C1 (unvoiced unaspirate),
ṣev,17,399,ṣ,e,sibilant,non-varga (sibilant),
sveday,17,389,s,e,sibilant,non-varga (sibilant),
māray,17,385,m,ā,pavarga,C5 (nasal),
chāday,17,371,ch,ā,cavarga,C2 (unvoiced aspirate),
ṣvaj,17,359,ṣ,a,sibilant,non-varga (sibilant),
jāgṛ,17,346,j,ā,cavarga,C3 (voiced unaspirate),
kāś,17,327,k,ā,kavarga,C1 (unvoiced unaspirate),
van,17,230,v,a,semivowel,non-varga (semivowel),
ṣecay,17,215,ṣ,e,sibilant,non-varga (sibilant),
śeṣay,17,195,ś,e,sibilant,non-varga (sibilant),
kalay,17,189,k,a,kavarga,C1 (unvoiced unaspirate),
vij,17,146,v,i,semivowel,non-varga (semivowel),
nāyay,17,145,n,ā,tavarga,C5 (nasal),
kopay,17,141,k,o,kavarga,C1 (unvoiced unaspirate),
und,17,103,—,u,vowel-initial,non-varga (vowel-initial),
bheday,17,101,bh,e,pavarga,C4 (voiced aspirate),
pothay,17,95,p,o,pavarga,C1 (unvoiced unaspirate),
viṣ,17,93,v,i,semivowel,non-varga (semivowel),
namay,17,79,n,a,tavarga,C5 (nasal),
sarpay,17,39,s,a,sibilant,non-varga (sibilant),
prāp,16,6022,p,ā,pavarga,C1 (unvoiced unaspirate),26
iṣ,16,4844,—,i,vowel-initial,non-varga (vowel-initial),34
upe,16,2226,—,u,vowel-initial,non-varga (vowel-initial),63
bhūṣay,16,924,bh,ū,pavarga,C4 (voiced aspirate),
av,16,869,—,a,vowel-initial,non-varga (vowel-initial),
arday,16,591,—,a,vowel-initial,non-varga (vowel-initial),
pyāyay,16,357,p,ā,pavarga,C1 (unvoiced unaspirate),
peṣay,16,323,p,e,pavarga,C1 (unvoiced unaspirate),
cit,16,274,c,i,cavarga,C1 (unvoiced unaspirate),
granth,16,178,g,a,kavarga,C3 (voiced unaspirate),
bhakṣ,16,173,bh,a,pavarga,C4 (voiced aspirate),
palāy,16,163,p,a,pavarga,C1 (unvoiced unaspirate),
ramay,16,154,r,a,semivowel,non-varga (semivowel),
ghaṭṭay,16,107,gh,a,kavarga,C4 (voiced aspirate),
hnu,16,95,h,u,glottal,non-varga (glottal),
lips,16,88,l,i,semivowel,non-varga (semivowel),
spand,16,73,s,a,sibilant,non-varga (sibilant),
sparśay,16,72,s,a,sibilant,non-varga (sibilant),
an,16,35,—,a,vowel-initial,non-varga (vowel-initial),
bhī,15,1387,bh,ī,pavarga,C4 (voiced aspirate),
śrī,15,655,ś,ī,sibilant,non-varga (sibilant),
śubh,15,557,ś,u,sibilant,non-varga (sibilant),
sarjay,15,284,s,a,sibilant,non-varga (sibilant),
snāpay,15,201,s,ā,sibilant,non-varga (sibilant),
san,15,197,s,a,sibilant,non-varga (sibilant),
gālay,15,177,g,ā,kavarga,C3 (voiced unaspirate),
spṛ,15,166,s,ṛ,sibilant,non-varga (sibilant),
bandhay,15,143,b,a,pavarga,C3 (voiced unaspirate),
dyut,15,129,d,u,tavarga,C3 (voiced unaspirate),
prathay,15,115,p,a,pavarga,C1 (unvoiced unaspirate),
jigīṣ,15,85,j,i,cavarga,C3 (voiced unaspirate),
majjay,15,78,m,a,pavarga,C5 (nasal),
das,15,76,d,a,tavarga,C3 (voiced unaspirate),
hāpay,15,71,h,ā,glottal,non-varga (glottal),
valg,15,63,v,a,semivowel,non-varga (semivowel),
smāray,15,57,s,ā,sibilant,non-varga (sibilant),
svar,15,56,s,a,sibilant,non-varga (sibilant),
dhāvay,15,49,dh,ā,tavarga,C4 (voiced aspirate),
gur,15,48,g,u,kavarga,C3 (voiced unaspirate),
mīl,15,48,m,ī,pavarga,C5 (nasal),
vlī,15,31,v,ī,semivowel,non-varga (semivowel),
antardhā,14,1011,—,a,vowel-initial,non-varga (vowel-initial),
jāray,14,671,j,ā,cavarga,C3 (voiced unaspirate),
cam,14,476,c,a,cavarga,C1 (unvoiced unaspirate),
ardhay,14,407,—,a,vowel-initial,non-varga (vowel-initial),
prath,14,370,p,a,pavarga,C1 (unvoiced unaspirate),
sac,14,324,s,a,sibilant,non-varga (sibilant),
mūrch,14,256,m,ū,pavarga,C5 (nasal),
varay,14,215,v,a,semivowel,non-varga (semivowel),
spṛdh,14,198,s,ṛ,sibilant,non-varga (sibilant),
kṣapay,14,166,k,a,kavarga,C1 (unvoiced unaspirate),
sphuṭ,14,166,s,u,sibilant,non-varga (sibilant),
skhal,14,152,s,a,sibilant,non-varga (sibilant),
bhrāmay,14,141,bh,ā,pavarga,C4 (voiced aspirate),
syand,14,120,s,a,sibilant,non-varga (sibilant),
du,14,104,d,u,tavarga,C3 (voiced unaspirate),
dabh,14,100,d,a,tavarga,C3 (voiced unaspirate),
śīlay,14,96,ś,ī,sibilant,non-varga (sibilant),
dhmāpay,14,94,dh,ā,tavarga,C4 (voiced aspirate),
jijñās,14,90,j,i,cavarga,C3 (voiced unaspirate),
svāday,14,88,s,ā,sibilant,non-varga (sibilant),
marṣay,14,81,m,a,pavarga,C5 (nasal),
garhay,14,76,g,a,kavarga,C3 (voiced unaspirate),
śocay,14,70,ś,o,sibilant,non-varga (sibilant),
tarjay,14,68,t,a,tavarga,C1 (unvoiced unaspirate),
hlāday,14,55,h,ā,glottal,non-varga (glottal),
jihīrṣ,14,43,j,i,cavarga,C3 (voiced unaspirate),
kṣepay,14,24,k,e,kavarga,C1 (unvoiced unaspirate),
śleṣay,14,20,ś,e,sibilant,non-varga (sibilant),
avāp,13,1574,—,a,vowel-initial,non-varga (vowel-initial),
śā,13,1165,ś,ā,sibilant,non-varga (sibilant),
upās,13,1140,—,u,vowel-initial,non-varga (vowel-initial),
prekṣ,13,576,p,e,pavarga,C1 (unvoiced unaspirate),
pratī,13,423,p,a,pavarga,C1 (unvoiced unaspirate),
khād,13,375,kh,ā,kavarga,C2 (unvoiced aspirate),
anviṣ,13,361,—,a,vowel-initial,non-varga (vowel-initial),
unnī,13,311,—,u,vowel-initial,non-varga (vowel-initial),
gopāy,13,272,g,o,kavarga,C3 (voiced unaspirate),
jighāṃs,13,204,j,i,cavarga,C3 (voiced unaspirate),
edh,13,201,—,e,vowel-initial,non-varga (vowel-initial),
pṛṇ,13,141,p,ṛ,pavarga,C1 (unvoiced unaspirate),
īh,13,141,—,ī,vowel-initial,non-varga (vowel-initial),
phal,13,136,ph,a,pavarga,C2 (unvoiced aspirate),
īr,13,118,—,ī,vowel-initial,non-varga (vowel-initial),
mlā,13,115,m,ā,pavarga,C5 (nasal),
nū,13,106,n,ū,tavarga,C5 (nasal),
kuñc,13,103,k,u,kavarga,C1 (unvoiced unaspirate),
sīv,13,103,s,ī,sibilant,non-varga (sibilant),
uṣ,13,102,—,u,vowel-initial,non-varga (vowel-initial),
cetay,13,98,c,e,cavarga,C1 (unvoiced unaspirate),
khaṇḍay,13,78,kh,a,kavarga,C2 (unvoiced aspirate),
dhī,13,76,dh,ī,tavarga,C4 (voiced aspirate),
dāhay,13,74,d,ā,tavarga,C3 (voiced unaspirate),
añjay,13,71,—,a,vowel-initial,non-varga (vowel-initial),
lālay,13,71,l,ā,semivowel,non-varga (semivowel),
tṛṣ,13,71,t,ṛ,tavarga,C1 (unvoiced unaspirate),
bhājay,13,54,bh,ā,pavarga,C4 (voiced aspirate),
kleśay,13,52,k,e,kavarga,C1 (unvoiced unaspirate),
mruc,13,49,m,u,pavarga,C5 (nasal),
